,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
11452,11452,11470,목동,2008-11-10,우성,200,84.44,4,1992,55000,651.3500710563715,149,1
11453,11453,11470,목동,2008-11-10,목동신시가지7,925,101.2,5,1988,90000,889.3280632411067,149,1
11454,11454,11470,목동,2008-11-10,목동신시가지7,925,66.6,12,1986,52000,780.7807807807809,149,1
11455,11455,11470,목동,2008-11-12,목동신시가지2,902,65.25,14,1986,56000,858.2375478927203,149,1
11456,11456,11470,목동,2008-11-12,미성,745-12,72.48,2,1993,22500,310.4304635761589,149,1
11457,11457,11470,목동,2008-11-14,롯데캐슬위너,956,84.97,2,2005,65000,764.9758738378251,149,1
11458,11458,11470,목동,2008-11-14,목동성원(926-8),926-8,114.95,11,1997,80000,695.9547629404088,149,1
11459,11459,11470,목동,2008-11-15,목동신시가지7,925,101.2,10,1988,83000,820.1581027667984,149,1
11469,11469,11470,신월동,2008-11-10,삼동1,562-3,84.51,3,1996,25000,295.8229795290498,149,1
11470,11470,11470,신월동,2008-11-10,신월시영,987-1,50.67,5,1988,22500,444.04973357015984,149,1
11471,11471,11470,신월동,2008-11-11,신월시영,987-1,50.67,9,1988,23500,463.78527728438917,149,1
11472,11472,11470,신월동,2008-11-12,세아쎄닛빌,547-5,84.29,8,2002,25000,296.59508838533634,149,1
11516,11516,11470,신정동,2008-11-09,목동신시가지13,327,53.9,11,1987,37500,695.7328385899815,149,1
11517,11517,11470,신정동,2008-11-10,목동신시가지11,325,51.48,8,1988,26000,505.0505050505051,149,1
11518,11518,11470,신정동,2008-11-10,목동신시가지12,326,53.46,9,1988,34900,652.8245417134306,149,1
11519,11519,11470,신정동,2008-11-10,목동신시가지12,326,71.64,6,1988,46300,646.286990508096,149,1
11520,11520,11470,신정동,2008-11-11,목동신시가지14,329,83.89,17,1987,70700,842.7702944331863,149,1
11521,11521,11470,신정동,2008-11-11,목동신시가지8,314,54.94,13,1987,35000,637.0586093920641,149,1
11522,11522,11470,신정동,2008-11-12,목동신시가지8,314,54.94,11,1987,36000,655.2602839461231,149,1
11523,11523,11470,신정동,2008-11-12,동일하이빌1단지,1310,115.321,9,2005,64000,554.9726415830595,149,1
11524,11524,11470,신정동,2008-11-13,목동신시가지10,311,127.21,9,1987,100000,786.1017215627703,149,1
11525,11525,11470,신정동,2008-11-14,신트리1,1259,49.8,6,1999,23000,461.847389558233,149,1
