,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
17607,1,11470,목동,2010-08-30,벽산,926-7,84.99,8,1991,63000,741.2636780797741,243
17608,1,11470,목동,2010-08-31,부영3,908-34,159.57,23,2000,109000,683.0857930688726,243
17609,1,11470,목동,2010-08-31,금호1,934,59.88,18,1997,43000,718.1028724114897,243
17610,1,11470,목동,2010-08-31,롯데캐슬위너,956,84.97,21,2005,61000,717.9004354478051,243
17611,1,11470,목동,2010-08-31,목동신시가지3,903,64.98,4,1986,62000,954.1397353031701,243
17635,1,11470,신월동,2010-08-29,세아쎄닛빌,547-5,84.74,9,2002,27700,326.88222799150344,243
17636,1,11470,신월동,2010-08-29,삼정그린뷰,1041,84.14,13,2005,33300,395.7689565010696,243
17637,1,11470,신월동,2010-08-30,나이아가라,507-3,59.95,10,1999,22000,366.9724770642202,243
17638,1,11470,신월동,2010-08-30,누리애,410-10,57.72,10,2010,23000,398.4753984753985,243
17690,1,11470,신정동,2010-08-29,목동신시가지9,312,71.37,12,1987,61900,867.3111951800475,243
17691,1,11470,신정동,2010-08-30,신정6현대,743-2,114.8,22,2000,49200,428.57142857142856,243
17692,1,11470,신정동,2010-08-30,동림,1019-4,74.3,6,2003,28200,379.542395693136,243
17693,1,11470,신정동,2010-08-30,목동신시가지12,326,71.64,9,1988,54000,753.7688442211055,243
17694,1,11470,신정동,2010-08-31,이연에버리치,888-8,70.58,6,2007,31000,439.21790875602153,243
17695,1,11470,신정동,2010-08-31,목동신시가지14,329,55.02,8,1988,40000,727.0083605961468,243
17696,1,11470,목동,2010-09-01,롯데캐슬위너,956,84.97,8,2005,60000,706.1315758503001,243
17697,1,11470,목동,2010-09-01,목동신시가지1,901,65.34,5,1985,61000,933.578206305479,243
17698,1,11470,목동,2010-09-02,엘리시아,524,65.36,1,2009,35000,535.4957160342717,243
17699,1,11470,목동,2010-09-02,목동신시가지7,925,101.2,7,1986,107000,1057.3122529644268,243
17700,1,11470,목동,2010-09-02,목동신시가지3,903,153.58,2,1986,155000,1009.2459955723401,243
17701,1,11470,목동,2010-09-02,목동신시가지3,903,64.98,12,1986,59000,907.9716835949522,243
17702,1,11470,목동,2010-09-04,극동늘푸른,752-1,59.91,4,1998,32000,534.1345351360375,243
17703,1,11470,목동,2010-09-04,진도2,936,59.46,17,1999,40500,681.130171543895,243
17704,1,11470,목동,2010-09-04,목동청구한신아파트,929,84.76,12,1997,56800,670.1274185936762,243
17705,1,11470,목동,2010-09-04,목동신시가지5,912,95.01,5,1986,93500,984.1069361119881,243
17706,1,11470,목동,2010-09-04,목동신시가지2,902,120.06,1,1986,127500,1061.969015492254,243
17743,1,11470,신월동,2010-09-01,삼익플라주,1042,84.736,5,2006,28400,335.1586102719033,243
17744,1,11470,신월동,2010-09-01,누리애,410-10,57.72,9,2010,21700,375.95287595287596,243
17745,1,11470,신월동,2010-09-01,누리애,410-10,57.72,3,2010,21000,363.8253638253638,243
17746,1,11470,신월동,2010-09-02,신월시영,987-1,43.2,12,1988,18000,416.66666666666663,243
17747,1,11470,신월동,2010-09-03,길훈,341-1,42.57,4,1987,13800,324.1719520789288,243
17748,1,11470,신월동,2010-09-03,우당,506-1,83.43,13,1997,29000,347.59678772623755,243
17749,1,11470,신월동,2010-09-04,신월시영,987-1,50.67,8,1988,21000,414.44641799881583,243
17750,1,11470,신월동,2010-09-04,신월시영,987-1,50.67,10,1988,22000,434.18196171304515,243
17774,1,11470,신정동,2010-09-02,목동신시가지10,311,127.21,7,1987,118000,927.6000314440689,243
17775,1,11470,신정동,2010-09-02,목동신시가지12,326,71.64,6,1988,55000,767.7275265214963,243
17776,1,11470,신정동,2010-09-02,목동신시가지10,311,105.58,4,1987,90250,854.8020458420156,243
17777,1,11470,신정동,2010-09-03,목동삼성,1278,84.77,22,1996,48300,569.7770437654831,243
17778,1,11470,신정동,2010-09-04,목동신시가지14,329,129.33,14,1987,105000,811.8765947575968,243
17779,1,11470,신정동,2010-09-04,목동신시가지14,329,71.37,11,1988,57000,798.6548970155527,243
17780,1,11470,신정동,2010-09-04,목동신시가지12,326,71.64,6,1988,54200,756.5605806811836,243
17781,1,11470,신정동,2010-09-04,학마을1단지,1293,59.98,11,2000,27500,458.48616205401805,243
