,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
42493,1,11560,당산동2가,2018-08-28,대우,16-1,45.55,10,1999,33500,735.4555433589462,660
42494,1,11560,당산동2가,2018-08-30,대우,16-1,45.55,7,1999,34300,753.0186608122942,660
42510,1,11560,당산동3가,2018-08-29,동부센트레빌,561,94.75,5,2003,89500,944.5910290237467,660
42550,1,11560,당산동4가,2018-08-27,현대5,30-1,84.69,3,2000,81500,962.3332152556383,660
42551,1,11560,당산동4가,2018-08-28,현대2,92,80.07,11,1986,70000,874.2350443362059,660
42552,1,11560,당산동4가,2018-08-28,금호,95,84.25,13,2002,80000,949.5548961424332,660
42553,1,11560,당산동4가,2018-08-28,당산동반도유보라팰리스,96,124.62,16,2010,107750,864.6284705504734,660
42554,1,11560,당산동4가,2018-08-29,금호,95,59.91,1,2002,68000,1135.0358871640794,660
42555,1,11560,당산동4가,2018-08-29,현대3,88,84.5,9,1988,80000,946.7455621301775,660
42630,1,11560,대림동,2018-08-26,한신휴 2차,897-1,84.93,12,1999,55000,647.5921346991639,660
42631,1,11560,대림동,2018-08-26,보라매 신동아 파밀리에,1125,84.88,8,2016,75000,883.6003770028276,660
42632,1,11560,대림동,2018-08-27,대림현대,946-1,84.96,6,1999,60000,706.2146892655368,660
42633,1,11560,대림동,2018-08-27,현대1,785-1,84.75,8,1992,47000,554.5722713864307,660
42634,1,11560,대림동,2018-08-27,온누리,1120,81.91,7,2007,41650,508.4849224758882,660
42635,1,11560,대림동,2018-08-27,신대림 신동아파밀리에,1124,84.949,5,2013,65000,765.1649813417463,660
42636,1,11560,대림동,2018-08-28,보라매 신동아 파밀리에,1125,59.95,14,2016,65000,1084.2368640533778,660
42637,1,11560,대림동,2018-08-28,코오롱,607-1,134.91,21,1998,74000,548.5138240308354,660
42638,1,11560,대림동,2018-08-28,대림현대,946-1,84.96,17,1999,60000,706.2146892655368,660
42639,1,11560,대림동,2018-08-28,쌍용플래티넘S,717,18.24,11,2013,12800,701.7543859649123,660
42640,1,11560,대림동,2018-08-28,현대2,785,84.74,5,1992,49000,578.2393202737786,660
42641,1,11560,대림동,2018-08-30,성원(650),650,59.63,6,1995,43000,721.1135334563139,660
42642,1,11560,대림동,2018-08-30,신동아,777-1,53.37,8,1987,34200,640.8094435075885,660
42643,1,11560,대림동,2018-08-30,현대2,785,84.74,17,1992,56300,664.3851781921171,660
42644,1,11560,대림동,2018-08-30,우성1,762-1,83.59,10,1985,52000,622.0839813374805,660
42653,1,11560,도림동,2018-08-27,영등포아트자이,821,84.738,20,2014,85000,1003.0918832165027,660
42675,1,11560,문래동3가,2018-08-26,문래힐스테이트,94,137.82,4,2003,98000,711.0724132927006,660
42676,1,11560,문래동3가,2018-08-28,문래건영,93-1,84.78,3,1998,70000,825.6664307619722,660
42677,1,11560,문래동3가,2018-08-28,문래힐스테이트,94,119.47,2,2003,96800,810.2452498535197,660
42678,1,11560,문래동3가,2018-08-29,문래자이,54,121.53,6,2001,109800,903.480622068625,660
42680,1,11560,문래동4가,2018-08-28,문래동삼환,43,84.98,4,2001,59800,703.6949870557778,660
42689,1,11560,문래동5가,2018-08-31,문래 두산위브,14,65.46,1,1988,43700,667.5832569508098,660
42690,1,11560,문래동5가,2018-08-31,문래 두산위브,14,65.46,9,1988,49500,756.1869844179653,660
42704,1,11560,문래동6가,2018-08-30,현대2,45,41.04,9,1987,36400,886.9395711500974,660
42791,1,11560,신길동,2018-08-26,래미안 영등포 프레비뉴,4945,84.98,21,2015,99800,1174.3939750529537,660
42792,1,11560,신길동,2018-08-26,신길동자이,4938,84.94,3,2011,80000,941.8412997409937,660
42793,1,11560,신길동,2018-08-27,우성1,365,64.4,2,1986,60000,931.6770186335403,660
42794,1,11560,신길동,2018-08-28,남서울,3002,48.26,3,1975,52000,1077.496891835889,660
42795,1,11560,신길동,2018-08-28,건영,364,95.64,5,1985,74700,781.0539523212045,660
42796,1,11560,신길동,2018-08-28,보라매경남아너스빌,4780,84.79,10,2005,76000,896.3321146361599,660
42797,1,11560,신길동,2018-08-29,신풍두산위브,425-8,84.7,11,2005,60000,708.3825265643447,660
42798,1,11560,신길동,2018-08-29,신길동자이,4938,84.94,13,2011,80000,941.8412997409937,660
42799,1,11560,신길동,2018-08-29,우성2,4518,53.24,6,1986,58000,1089.4064613072876,660
42800,1,11560,신길동,2018-08-31,경남,67-1,59.96,7,1999,50000,833.8892595063376,660
42801,1,11560,신길동,2018-08-31,우성5,4933,84.98,1,1993,50000,588.3737349964697,660
42802,1,11560,신길동,2018-08-31,우성1,365,83.64,5,1986,68500,818.986131037781,660
