,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
4240,4240,11170,도원동,2009-03-31,삼성래미안,23,84.69,6,2001,55000,649.4273231786516,169,1
4242,4242,11170,산천동,2009-03-30,한강타운,204,59.69,2,2001,32000,536.1031998659743,169,1
4252,4252,11170,서빙고동,2009-03-30,신동아,241-21,166.98,3,1985,140000,838.4237633249492,169,1
4253,4253,11170,용산동2가,2009-03-31,한신,47-17,81.7,6,1981,55500,679.3145654834761,169,1
4255,4255,11170,원효로4가,2009-03-30,강변삼성스위트,178,59.92,5,1999,40000,667.5567423230974,169,1
4290,4290,11170,이촌동,2009-03-29,한가람,404,59.88,22,1998,52500,876.7535070140281,169,1
4291,4291,11170,이촌동,2009-03-29,강촌,402,114.595,10,1998,96000,837.7328853789433,169,1
4292,4292,11170,이촌동,2009-03-30,한가람,404,59.88,4,1998,50000,835.00334001336,169,1
4293,4293,11170,이촌동,2009-03-30,이촌코오롱(A),412,84.78,20,1999,72800,858.6930879924511,169,1
4294,4294,11170,이촌동,2009-03-30,강촌,402,84.77,6,1998,71500,843.4587707915537,169,1
4295,4295,11170,이촌동,2009-03-31,이촌코오롱(A),412,114.69,10,1999,97250,847.9379196093819,169,1
4304,4304,11170,이태원동,2009-03-31,남산대림,729,84.75,5,1994,67500,796.4601769911504,169,1
4314,4314,11170,한강로2가,2009-03-30,벽산메가트리움,02월 08일,84.74,21,2005,69500,820.1557705924004,169,1
4333,4333,11170,후암동,2009-03-31,후암미주,423-1,64.07,1,1980,40000,624.3171531137818,169,1
4334,4334,11170,도원동,2009-04-04,삼성래미안,23,84.69,4,2001,53000,625.8117841539733,169,1
4352,4352,11170,보광동,2009-04-02,신동아1,448,84.93,4,1992,70000,824.2081714352996,169,1
4353,4353,11170,보광동,2009-04-02,리버빌(삼성),151,84.74,5,2000,55500,654.9445362284636,169,1
4364,4364,11170,산천동,2009-04-04,리버힐삼성,193,59.55,17,2001,43000,722.0822837951301,169,1
4372,4372,11170,서빙고동,2009-04-02,신동아,241-21,95.66,1,1984,82000,857.2025925151579,169,1
4373,4373,11170,서빙고동,2009-04-02,신동아,241-21,95.66,5,1984,88000,919.9247334309011,169,1
4374,4374,11170,서빙고동,2009-04-03,신동아,241-21,140.81,9,1984,124500,884.1701583694339,169,1
4375,4375,11170,서빙고동,2009-04-03,신동아,241-21,210.25,11,1984,173000,822.8299643281807,169,1
4376,4376,11170,서빙고동,2009-04-03,신동아,241-21,95.66,10,1984,89500,935.605268659837,169,1
4387,4387,11170,원효로1가,2009-04-02,로얄카운티-2,05월 17일,134.53,7,2006,52500,390.24752843231994,169,1
4391,4391,11170,이촌동,2009-04-01,한가람,404,59.88,15,1998,54500,910.1536406145624,169,1
4392,4392,11170,이촌동,2009-04-01,동부센트레빌,418,100.92,13,2001,120000,1189.0606420927468,169,1
4393,4393,11170,이촌동,2009-04-01,한가람,404,114.96,13,1998,118000,1026.4439805149618,169,1
4394,4394,11170,이촌동,2009-04-02,한강맨숀,300-23,101.95,2,1971,143000,1402.6483570377636,169,1
4395,4395,11170,이촌동,2009-04-02,삼익,300-301,104.86,7,1979,77800,741.9416364676712,169,1
4396,4396,11170,이촌동,2009-04-02,강촌,402,59.12,5,1998,49500,837.2801082543979,169,1
4397,4397,11170,이촌동,2009-04-02,한가람,404,84.96,14,1998,85200,1002.8248587570622,169,1
4398,4398,11170,이촌동,2009-04-04,이촌코오롱(A),412,114.69,3,1999,94500,823.9602406487052,169,1
4399,4399,11170,이촌동,2009-04-04,한강(대우),415,84.98,19,2000,76000,894.328077194634,169,1
4400,4400,11170,이촌동,2009-04-04,한가람,404,59.88,11,1998,55300,923.5136940547761,169,1
4401,4401,11170,이촌동,2009-04-04,한가람,404,59.88,6,1998,54000,901.8036072144288,169,1
4455,4455,11170,이태원동,2009-04-03,청화1,02월 22일,174.38,6,1982,108000,619.3370799403601,169,1
4456,4456,11170,이태원동,2009-04-04,청화1,02월 22일,106.12,3,1982,64500,607.8024877497173,169,1
4465,4465,11170,한강로3가,2009-04-02,시티파크(2단지),63-387,145.87,14,2007,205000,1405.3609378213478,169,1
4466,4466,11170,한강로3가,2009-04-04,용산 시티파크(1단지),63-389,146.56,6,2007,135000,921.1244541484716,169,1
4471,4471,11170,한남동,2009-04-02,한남힐스테이트,807,130.898,5,2003,90000,687.5582514629712,169,1
