,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
5586,1,11170,동빙고동,2010-03-10,아울스타운,1-44,151.35,1,2003,83000,548.397753551371,218
5588,1,11170,문배동,2010-03-12,이안용산1차(103동),11-29,84.9,15,2005,57000,671.3780918727915,218
5593,1,11170,보광동,2010-03-09,신동아1,448,84.93,9,1992,80000,941.9521959260567,218
5594,1,11170,보광동,2010-03-11,신동아1,448,84.93,4,1992,80000,941.9521959260567,218
5595,1,11170,산천동,2010-03-08,리버힐삼성,193,59.55,5,2001,40700,683.4592779177162,218
5596,1,11170,산천동,2010-03-10,한강타운,204,59.69,10,2001,35000,586.3628748534093,218
5612,1,11170,이촌동,2010-03-08,강촌,402,59.12,10,1998,56500,955.683355886333,218
5613,1,11170,이촌동,2010-03-08,현대맨숀,301-162,121.44,4,1975,84000,691.699604743083,218
5614,1,11170,이촌동,2010-03-08,한가람,404,84.89,11,1998,84000,989.5158440334551,218
5615,1,11170,이촌동,2010-03-09,현대맨숀,301-162,121.68,1,1975,82000,673.8987508218277,218
5616,1,11170,이촌동,2010-03-09,한강(대우),415,134.13,11,2000,118000,879.7435323939462,218
5617,1,11170,이촌동,2010-03-10,왕궁,300-11,102.48,1,1974,95000,927.0101483216237,218
5618,1,11170,이촌동,2010-03-10,LG한강자이,430,134.45,18,2003,190000,1413.1647452584605,218
5619,1,11170,이촌동,2010-03-11,강촌,402,84.905,18,1998,85000,1001.1188975914257,218
5620,1,11170,이촌동,2010-03-13,렉스,300-3,127.5,1,1974,108000,847.0588235294117,218
5639,1,11170,이태원동,2010-03-08,청화1,22-2,142.71,2,1982,90000,630.6495690561278,218
5645,1,11170,청암동,2010-03-08,GS자이,181,223.75,13,2005,193000,862.5698324022346,218
5646,1,11170,청암동,2010-03-09,GS자이,181,201.23,6,2005,162000,805.0489489638722,218
5647,1,11170,청암동,2010-03-13,GS자이,181,223.75,14,2005,185000,826.8156424581006,218
5650,1,11170,한강로3가,2010-03-10,우림필유,91,84.99,11,2006,80000,941.2872102600306,218
5651,1,11170,한강로3가,2010-03-11,용산 시티파크(1단지),63-389,116.31,14,2007,120000,1031.7255610007737,218
5652,1,11170,한강로3가,2010-03-13,우림필유,91,84.99,8,2006,85500,1006.0007059654077,218
5662,1,11170,한남동,2010-03-09,한남동동원베네스트,522-1,81.83,12,2010,50000,611.0228522546744,218
5663,1,11170,한남동,2010-03-13,한남동리첸시아,72-1,37.53,10,2004,28500,759.3924860111911,218
5669,1,11170,효창동,2010-03-10,효창아트빌2차,5-158,101.36,5,2002,42700,421.2707182320442,218
5670,1,11170,효창동,2010-03-10,로얄카운티,5-606,190.12,7,2002,80000,420.78687144961077,218
5673,1,11170,후암동,2010-03-09,후암미주,423-1,62.28,6,1980,49000,786.7694283879255,218
