,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
16232,16232,11380,갈현동,2014-03-25,한솔,539,39.96,14,1997,14000,350.35035035035037,429,1
16244,16244,11380,구산동,2014-03-24,동익파크(355-95),355-95,84.98,4,1991,23500,276.5356554483408,429,1
16245,16245,11380,구산동,2014-03-24,갈현1단지e-편한세상,547,59.887,1,2004,22200,370.6981481790706,429,1
16246,16246,11380,구산동,2014-03-24,갈현1단지e-편한세상,547,84.618,2,2004,28900,341.5348980122433,429,1
16247,16247,11380,구산동,2014-03-27,산호,21-61,68.46,2,2004,18500,270.23079170318437,429,1
16248,16248,11380,구산동,2014-03-28,동익파크(355-95),355-95,84.98,3,1991,24200,284.77288773829133,429,1
16249,16249,11380,구산동,2014-03-29,경향,162-1,124.8,9,1989,30700,245.99358974358975,429,1
16260,16260,11380,녹번동,2014-03-25,대림아파트(276),276,84.94,15,1993,31500,370.85001177301626,429,1
16261,16261,11380,녹번동,2014-03-26,굿모닝기룡아파트,83-18,51.08,3,2012,24000,469.8512137823023,429,1
16271,16271,11380,대조동,2014-03-27,삼성타운,231,59.4,17,1997,25600,430.976430976431,429,1
16272,16272,11380,대조동,2014-03-27,부림베스트빌,191-24,84.8,5,2004,29800,351.41509433962267,429,1
16336,16336,11380,불광동,2014-03-23,북한산힐스테이트1차아파트,635,59.817,10,2009,37200,621.8967851948443,429,1
16337,16337,11380,불광동,2014-03-25,북한산현대홈타운,633,59.9765,2,2004,33300,555.2174601719006,429,1
16338,16338,11380,불광동,2014-03-25,신우아파트,241-23,114.72,5,1995,31000,270.2231520223152,429,1
16339,16339,11380,불광동,2014-03-26,갤럭시타운,281-81,44.85,11,2013,24800,552.9542920847268,429,1
16340,16340,11380,불광동,2014-03-27,북한산 힐스테이트7차,643,84.99,10,2011,50100,589.4811154253442,429,1
16341,16341,11380,불광동,2014-03-27,북한산현대홈타운,633,59.9765,6,2004,36000,600.2350920777304,429,1
16342,16342,11380,불광동,2014-03-27,명남뉴타운,16-142,82.88,4,2003,27000,325.7722007722008,429,1
16343,16343,11380,불광동,2014-03-27,북한산래미안아파트(1단지),638,59.9932,1,2010,35500,591.7337298227133,429,1
16344,16344,11380,불광동,2014-03-27,라이프미성,248,66.7,6,1988,26500,397.3013493253373,429,1
16345,16345,11380,불광동,2014-03-28,북한산현대힐스테이트3차아파트,641,84.98,13,2010,45800,538.9503412567663,429,1
16346,16346,11380,불광동,2014-03-29,북한산래미안아파트(1단지),638,84.9885,4,2010,51000,600.0811874547733,429,1
16366,16366,11380,수색동,2014-03-25,대림한숲,415-1,84.95100000000001,14,2003,35000,412.00221304045857,429,1
16396,16396,11380,신사동,2014-03-24,신사동한신휴플러스,365,59.76,8,2003,27400,458.5006693440429,429,1
16397,16397,11380,신사동,2014-03-25,현대2,355,84.83,11,1994,26600,313.5683130967818,429,1
16398,16398,11380,신사동,2014-03-25,임탑(364) 101동,364,74.21,5,2003,18000,242.55491173696268,429,1
16399,16399,11380,신사동,2014-03-25,은평신사두산위브,370,84.958,5,2006,35900,422.5617363873914,429,1
16400,16400,11380,신사동,2014-03-25,이랜드 타운아파트,367,84.9287,3,2004,32000,376.78664573930837,429,1
16401,16401,11380,신사동,2014-03-26,현대2,355,84.83,13,1994,20000,235.76564894494874,429,1
16402,16402,11380,신사동,2014-03-29,경남,348-11,84.98,10,1996,25000,294.18686749823485,429,1
16417,16417,11380,역촌동,2014-03-25,두성,21-21,83.93,3,2004,26000,309.78196115810795,429,1
16418,16418,11380,역촌동,2014-03-25,미랜드,Jan-39,84.94,2,2006,30950,364.37485283729694,429,1
16448,16448,11380,응암동,2014-03-23,뉴월드(402-112),402-112,67.98,7,2005,20500,301.5592821418064,429,1
16449,16449,11380,응암동,2014-03-25,자선메르시안(115),115-27,55.01,5,2002,21000,381.74877295037265,429,1
16450,16450,11380,응암동,2014-03-25,경남,714,74.21,5,1995,25500,343.6194582940305,429,1
16451,16451,11380,응암동,2014-03-25,우성,694-1,80.99,10,1988,25000,308.68008396098287,429,1
16452,16452,11380,응암동,2014-03-26,대우푸르지오,176,84.2,7,2008,36600,434.6793349168646,429,1
16453,16453,11380,응암동,2014-03-27,신현대,112-26,84.44,4,2003,28000,331.59639981051635,429,1
16454,16454,11380,응암동,2014-03-28,백련산힐스테이트3차,761,114.9,1,2011,59941,521.6797214969539,429,1
16455,16455,11380,응암동,2014-03-28,남청파인힐,742-3,55.14,17,2001,20300,368.1537903518317,429,1
16468,16468,11380,증산동,2014-03-27,월드빌,250,80.931,8,2002,34950,431.84935315268564,429,1
