,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
32225,1,11380,갈현동,2019-01-28,베로니스,468-5,52.1,12,2017,28200,541.2667946257197,682
32232,1,11380,녹번동,2019-01-27,북한산푸르지오,281,97.06,2,2015,89000,916.9585823202143,682
32237,1,11380,대조동,2019-01-29,호림리슈리안,172-75,56.83,3,2018,43900,772.4793243005455,682
32238,1,11380,대조동,2019-01-29,호림리슈리안,172-75,56.83,4,2018,44500,783.0371282773183,682
32247,1,11380,불광동,2019-01-29,북한산 한양 수자인 아파트,636,59.69,7,2006,29000,485.84352487853914,682
32248,1,11380,불광동,2019-01-29,청송,30,154.15,6,2003,38800,251.70288679857282,682
32286,1,11380,응암동,2019-01-29,응암아네스트,88-8,13.6793,13,2014,12750,932.0652372562923,682
32287,1,11380,응암동,2019-01-31,대우푸르지오,176,59.58,13,2008,47000,788.855320577375,682
32288,1,11380,응암동,2019-01-31,서안에이스,97-3,108.73,5,2004,44000,404.67212360893956,682
32305,1,11380,증산동,2019-01-29,베로니스,257,54.25,8,2019,48500,894.0092165898618,682
32306,1,11380,증산동,2019-01-30,베로니스,257,54.25,5,2019,47300,871.889400921659,682
32307,1,11380,증산동,2019-01-30,베로니스,257,53.38,4,2019,47500,889.846384413638,682
32308,1,11380,증산동,2019-01-31,베로니스,257,54.25,8,2019,48500,894.0092165898618,682
32309,1,11380,증산동,2019-01-31,베로니스,257,54.25,4,2019,47300,871.889400921659,682
32317,1,11380,진관동,2019-01-29,은평뉴타운상림마을(현대아이파크B-14),10,167.69,12,2008,90000,536.704633550003,682
32318,1,11380,진관동,2019-01-30,은평뉴타운 구파발(삼성래미안9단지),25,166.98,4,2010,91000,544.975446161217,682
32328,1,11380,구산동,2019-02-01,갈현현대,382,84.83,14,1998,35000,412.58988565366025,682
32349,1,11380,불광동,2019-02-01,대광월드,391-68,82.83,1,2003,33000,398.40637450199205,682
32350,1,11380,불광동,2019-02-01,청나아파트,330-14,84.05,3,2003,31000,368.8280785246877,682
32363,1,11380,신사동,2019-02-01,정은노블스A,23-9,83.66,3,2006,39200,468.5632321300502,682
32364,1,11380,신사동,2019-02-02,삼부,361,86.55,3,2001,37000,427.4985557481225,682
32390,1,11380,증산동,2019-02-01,베로니스,257,59.45,13,2019,58000,975.6097560975609,682
32391,1,11380,증산동,2019-02-01,베로니스,257,54.25,12,2019,48300,890.3225806451613,682
32392,1,11380,증산동,2019-02-01,베로니스,257,54.25,2,2019,48000,884.7926267281106,682
32393,1,11380,증산동,2019-02-02,베로니스,257,54.25,6,2019,49700,916.1290322580645,682
32394,1,11380,증산동,2019-02-02,베로니스,257,54.84,3,2019,47500,866.1560904449307,682
