,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
2526,2526,11110,낙원동,2011-02-16,낙원,288,73.59,13,1968,30000,407.6640847941296,267,1
2533,2533,11110,무악동,2011-02-14,현대,82,60.0,9,2000,40490,674.8333333333334,267,1
2534,2534,11110,무악동,2011-02-15,인왕산아이파크,60,84.85799999999999,3,2008,65000,765.9855287657028,267,1
2535,2535,11110,무악동,2011-02-16,현대,82,60.0,13,2000,36790,613.1666666666666,267,1
2536,2536,11110,무악동,2011-02-16,인왕산아이파크,60,84.85799999999999,8,2008,69500,819.0152961417899,267,1
2537,2537,11110,무악동,2011-02-17,인왕산아이파크,60,114.931,7,2008,81000,704.7706885000566,267,1
2538,2538,11110,무악동,2011-02-17,현대,82,60.0,1,2000,34300,571.6666666666666,267,1
2539,2539,11110,무악동,2011-02-18,인왕산아이파크,60,114.931,8,2008,88000,765.6767973827775,267,1
2540,2540,11110,무악동,2011-02-19,현대,82,84.92,3,2000,49990,588.6716910032972,267,1
2541,2541,11110,무악동,2011-02-19,현대,82,60.0,6,2000,39890,664.8333333333334,267,1
2543,2543,11110,사직동,2011-02-17,광화문풍림스페이스본(101동~105동),9,94.51,3,2008,80000,846.4712728811766,267,1
2544,2544,11110,사직동,2011-02-19,광화문풍림스페이스본(101동~105동),9,94.51,10,2008,75000,793.566818326103,267,1
2552,2552,11110,익선동,2011-02-18,현대뜨레비앙,55,45.5,5,2003,19500,428.57142857142856,267,1
2557,2557,11110,창신동,2011-02-14,창신쌍용2,703,64.66,5,1993,26900,416.0222703371482,267,1
2558,2558,11110,창신동,2011-02-14,두산,232,59.95,4,1999,32000,533.7781484570476,267,1
2559,2559,11110,창신동,2011-02-15,동대문,328-17,28.8,5,1968,23500,815.9722222222222,267,1
2560,2560,11110,창신동,2011-02-15,창신쌍용1,702,79.87,2,1992,35000,438.2120946538124,267,1
2561,2561,11110,창신동,2011-02-17,창신쌍용2,703,54.7,12,1993,24000,438.75685557586837,267,1
2570,2570,11110,평창동,2011-02-14,롯데낙천대,72,110.53,9,2001,71500,646.8831991314576,267,1
