,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
12547,1,11140,순화동,2020-03-04,바비엥3,215,65.71,14,2006,52800,803.5306650433724,739
12549,1,11140,신당동,2020-03-02,그린빌,122-1,74.96,4,2003,53000,707.0437566702242,739
12550,1,11140,신당동,2020-03-03,삼성,843,84.96,15,1999,87500,1029.8964218455744,739
12551,1,11140,신당동,2020-03-03,약수하이츠,842,65.37,4,1999,81800,1251.338534495946,739
12552,1,11140,신당동,2020-03-03,현대,840,79.11,1,1993,69000,872.2032612817596,739
12553,1,11140,신당동,2020-03-04,약수하이츠,842,57.63,2,1999,66000,1145.2368558042685,739
12554,1,11140,신당동,2020-03-04,타워,294-12,99.03,4,2002,71000,716.9544582449763,739
12555,1,11140,신당동,2020-03-07,약수하이츠,842,57.63,17,1999,72000,1249.3492972410202,739
12556,1,11140,신당동,2020-03-07,약수하이츠,842,84.88,20,1999,114000,1343.072573044298,739
12557,1,11140,신당동,2020-03-07,신당푸르지오,850,84.39,18,2005,91500,1084.2516885886953,739
12582,1,11140,예장동,2020-03-02,삼익,9,110.49,3,1999,59500,538.5102724228437,739
12593,1,11140,황학동,2020-03-02,롯데캐슬,2545,114.9,15,2008,110000,957.3542210617928,739
12594,1,11140,황학동,2020-03-04,롯데캐슬,2545,59.94,30,2008,72000,1201.2012012012012,739
12595,1,11140,황학동,2020-03-04,롯데캐슬,2545,84.89,26,2008,89500,1054.305571916598,739
