,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
4050,4050,11260,망우동,2007-02-26,예성그린캐슬,577,84.83,6,2004,21000,247.55393139219615,60,1
4101,4101,11260,면목동,2007-02-25,동일,376-5,76.15,4,2002,16500,216.677609980302,60,1
4102,4102,11260,면목동,2007-02-25,한신,193-1,58.46,7,1988,16000,273.6914129319193,60,1
4103,4103,11260,면목동,2007-02-26,한신,193-1,44.5,14,1988,11000,247.19101123595505,60,1
4104,4104,11260,면목동,2007-02-26,한신,193-1,66.56,14,1987,18900,283.9543269230769,60,1
4105,4105,11260,면목동,2007-02-26,두원,1521,59.31,2,1998,13400,225.9315461136402,60,1
4106,4106,11260,면목동,2007-02-26,공감대(390-1),390-1,83.46,2,2005,20000,239.63575365444527,60,1
4107,4107,11260,면목동,2007-02-26,그린캐슬APT,136-2,84.68,2,2005,18500,218.4695323571091,60,1
4108,4108,11260,면목동,2007-02-26,한신,193-1,45.44,8,1987,11500,253.08098591549296,60,1
4109,4109,11260,면목동,2007-02-26,면목삼호101,1513,94.06,1,2000,27300,290.2402721667021,60,1
4110,4110,11260,면목동,2007-02-26,용마한신,1077-1,59.22,2,1990,16400,276.9334684228301,60,1
4111,4111,11260,면목동,2007-02-27,경남아너스빌,1529,84.961,5,2006,30000,353.10318852179233,60,1
4112,4112,11260,면목동,2007-02-27,용마한신,1077-1,35.44,12,1990,9150,258.1828442437923,60,1
4113,4113,11260,면목동,2007-02-27,면목동금호어울림아파트,1528,84.8726,11,2005,34000,400.60042934940134,60,1
4114,4114,11260,면목동,2007-02-28,두산2,1510,84.77,12,1995,31500,371.5937241948803,60,1
4115,4115,11260,면목동,2007-02-28,두산4,1522,59.72,21,2000,21800,365.0368385800402,60,1
4116,4116,11260,면목동,2007-02-28,용마한신2,1073,59.94,8,1998,19700,328.661995328662,60,1
4135,4135,11260,묵동,2007-02-26,문수해오름,174-9,84.62,4,2004,20000,236.35074450484518,60,1
4136,4136,11260,묵동,2007-02-26,신내,13,39.84,3,1996,10500,263.55421686746985,60,1
4137,4137,11260,묵동,2007-02-27,신도브래뉴,169-10,51.86,5,2004,15000,289.24026224450444,60,1
4138,4138,11260,묵동,2007-02-27,신내,13,39.84,7,1996,11400,286.14457831325296,60,1
4139,4139,11260,묵동,2007-02-28,신내,13,49.77,11,1996,18000,361.6636528028933,60,1
4140,4140,11260,묵동,2007-02-28,신안1,381,59.96,14,1999,17500,291.8612408272181,60,1
4150,4150,11260,상봉동,2007-02-26,한국프라우드,74,113.42,2,2005,20000,176.3357432551578,60,1
4191,4191,11260,신내동,2007-02-25,원당,408-2,63.0,4,1989,13500,214.28571428571428,60,1
4192,4192,11260,신내동,2007-02-25,건영2차,785,57.3,15,1996,17500,305.41012216404886,60,1
4193,4193,11260,신내동,2007-02-26,신내11대명,661,49.77,3,1996,14700,295.3586497890295,60,1
4194,4194,11260,신내동,2007-02-26,신내11대명,661,39.76,6,1996,10750,270.3722334004024,60,1
4195,4195,11260,신내동,2007-02-26,신내11대명,661,49.77,9,1996,15900,319.46955997588907,60,1
4196,4196,11260,신내동,2007-02-26,성원,783,84.32,15,1994,25000,296.48956356736244,60,1
4197,4197,11260,신내동,2007-02-26,라이프미성,487,59.6,12,1992,12600,211.40939597315435,60,1
4198,4198,11260,신내동,2007-02-26,대성유니트,803,76.94,10,2005,21000,272.93995321029377,60,1
4199,4199,11260,신내동,2007-02-27,신내9진흥,657,33.18,7,1996,8500,256.17842073538276,60,1
4200,4200,11260,신내동,2007-02-27,신내6대주,650,49.77,1,1996,15800,317.4603174603174,60,1
4201,4201,11260,신내동,2007-02-28,중앙하이츠,479,84.97,9,1996,27000,317.7592091326351,60,1
4213,4213,11260,중화동,2007-02-26,한신1차,450,84.03,8,1997,32000,380.81637510412946,60,1
4214,4214,11260,중화동,2007-02-26,한신1차,450,84.03,2,1997,30000,357.0153516601214,60,1
4215,4215,11260,중화동,2007-02-28,중화동건영아파트,42,59.85,8,1998,15000,250.6265664160401,60,1
4216,4216,11260,중화동,2007-02-28,극동,19,84.13,2,1991,15000,178.295495067158,60,1
4217,4217,11260,중화동,2007-02-28,태능에셈빌,314-1,81.574,9,2005,21900,268.46789418196977,60,1
4218,4218,11260,망우동,2007-03-02,예성그린캐슬,577,58.9,4,2004,16500,280.13582342954163,60,1
4219,4219,11260,망우동,2007-03-02,해오름101동,508-14,84.97200000000001,4,2005,22000,258.9088170220778,60,1
4220,4220,11260,망우동,2007-03-03,해오름102동,508-11,57.66,5,2005,16300,282.6916406520985,60,1
4239,4239,11260,면목동,2007-03-01,남청파인힐(101동),1526,82.09,2,2006,20000,243.63503471799243,60,1
4240,4240,11260,면목동,2007-03-01,용마한신,1077-1,44.35,3,1990,13000,293.1228861330327,60,1
4241,4241,11260,면목동,2007-03-01,용마한신,1077-1,59.22,2,1990,17300,292.1310368118879,60,1
4242,4242,11260,면목동,2007-03-02,한신,193-1,35.3,11,1988,8450,239.37677053824365,60,1
4243,4243,11260,면목동,2007-03-02,늘푸른동아,715,84.97,3,2002,32400,381.31105095916206,60,1
4244,4244,11260,면목동,2007-03-02,용마금호타운,494,84.9,5,1992,29000,341.5783274440518,60,1
4245,4245,11260,면목동,2007-03-02,한강훼미리(138-28),138-28,84.75,3,2004,20000,235.9882005899705,60,1
4246,4246,11260,면목동,2007-03-02,용마한신,1077-1,44.35,4,1990,12600,284.1037204058625,60,1
4247,4247,11260,면목동,2007-03-02,용마금호타운,494,84.9,6,1992,29000,341.5783274440518,60,1
4248,4248,11260,면목동,2007-03-03,면목삼익,1516,84.99,4,1997,22000,258.85398282150845,60,1
4249,4249,11260,면목동,2007-03-03,다울(178-10),178-10,84.88,2,2003,18000,212.06409048067863,60,1
4250,4250,11260,면목동,2007-03-03,한강훼미리(138-62),138-62,82.75,3,2004,23000,277.94561933534743,60,1
4251,4251,11260,면목동,2007-03-03,용마동아,1499,84.88,8,1993,26500,312.20546654099905,60,1
4252,4252,11260,면목동,2007-03-03,늘푸른동아,715,114.73,6,2002,44000,383.5091083413231,60,1
4253,4253,11260,면목동,2007-03-03,용마한신,1077-1,35.44,1,1990,8075,227.84988713318285,60,1
4254,4254,11260,면목동,2007-03-03,한신,193-1,45.44,12,1987,12000,264.08450704225356,60,1
4255,4255,11260,면목동,2007-03-03,한신,193-1,35.3,3,1988,8100,229.4617563739377,60,1
4360,4360,11260,묵동,2007-03-01,한국,378,59.64,3,1999,18000,301.8108651911469,60,1
4361,4361,11260,묵동,2007-03-02,신내,13,59.76,6,1996,21700,363.1191432396252,60,1
4362,4362,11260,묵동,2007-03-03,SM해그린,390,84.32,5,2006,28250,335.03320683111957,60,1
4363,4363,11260,묵동,2007-03-03,신내,13,49.77,2,1996,15150,304.40024110910184,60,1
4433,4433,11260,신내동,2007-03-01,진로,654,101.86,6,1995,52200,512.468093461614,60,1
4434,4434,11260,신내동,2007-03-01,신내6대주,650,39.84,8,1996,11900,298.69477911646584,60,1
4435,4435,11260,신내동,2007-03-02,동성7,797,59.34,9,1999,16000,269.63262554769125,60,1
4436,4436,11260,신내동,2007-03-02,신내9진흥,657,33.18,7,1996,9000,271.24773960217,60,1
4437,4437,11260,신내동,2007-03-02,신내9진흥,657,49.93,8,1996,15000,300.42058882435407,60,1
4438,4438,11260,신내동,2007-03-02,신내9진흥,657,33.18,10,1996,9000,271.24773960217,60,1
4439,4439,11260,신내동,2007-03-03,신내9진흥,657,33.18,13,1996,8700,262.2061482820977,60,1
4539,4539,11260,중화동,2007-03-01,한신2,450,84.03,15,1998,32300,384.3865286207307,60,1
4540,4540,11260,중화동,2007-03-02,미영리치타운103,207-12,84.9,11,2006,28000,329.79976442873965,60,1
