,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
13174,1,11740,고덕동,2009-02-15,고덕시영,492,49.032,2,1984,50000,1019.742209169522,163
13175,1,11740,고덕동,2009-02-16,주공2,212,48.6,1,1983,52800,1086.4197530864196,163
13176,1,11740,고덕동,2009-02-18,주공2,212,48.6,1,1983,52900,1088.477366255144,163
13177,1,11740,고덕동,2009-02-18,고덕시영,492,34.01,2,1984,34800,1023.228462216995,163
13178,1,11740,고덕동,2009-02-19,고덕시영,492,43.0,1,1984,43400,1009.3023255813954,163
13179,1,11740,고덕동,2009-02-20,주공2,212,48.6,4,1983,53000,1090.5349794238682,163
13180,1,11740,고덕동,2009-02-21,배재현대,312,59.94,14,1995,32000,533.8672005338673,163
13181,1,11740,고덕동,2009-02-21,주공2,212,55.8,2,1983,61000,1093.189964157706,163
13182,1,11740,고덕동,2009-02-21,주공2,212,39.33,2,1983,44500,1131.4518179506738,163
13205,1,11740,길동,2009-02-16,길동우성,400,57.1,4,1994,26500,464.09807355516637,163
13206,1,11740,길동,2009-02-16,에이치비골드빌(102동),384-4,64.19,4,2004,26500,412.8368904813834,163
13207,1,11740,길동,2009-02-16,신암가온,414-6,56.7,5,2002,20500,361.5520282186949,163
13208,1,11740,길동,2009-02-16,길동우성,400,84.75,3,1994,36000,424.7787610619469,163
13209,1,11740,길동,2009-02-17,한빛골드빌1차,384-1,72.41,15,2001,25000,345.25618008562355,163
13210,1,11740,길동,2009-02-18,강동역에스케이허브,445-1,84.81,21,2006,37800,445.70215776441455,163
13211,1,11740,길동,2009-02-18,하이브,456-2,84.94,10,2006,26000,306.09842241582294,163
13212,1,11740,길동,2009-02-18,신동아4,92,81.2,4,1999,28000,344.8275862068965,163
13213,1,11740,길동,2009-02-20,광남벨라스613V,385-3,65.4,13,2004,23000,351.6819571865443,163
13214,1,11740,길동,2009-02-21,현대1,470,84.87,16,1996,35300,415.9302462589843,163
13259,1,11740,둔촌동,2009-02-16,둔촌주공1단지,170-1,50.84,5,1980,52900,1040.5192761605035,163
13260,1,11740,둔촌동,2009-02-16,프라자,603,109.07,6,1984,49500,453.83698542220594,163
13261,1,11740,둔촌동,2009-02-17,둔촌주공4단지,170-1,99.61,4,1980,80000,803.1322156409999,163
13262,1,11740,둔촌동,2009-02-17,둔촌주공2단지,174-1,51.67,1,1980,53000,1025.7402748209793,163
13263,1,11740,둔촌동,2009-02-17,암펠로스타워,556,114.6,6,2006,43000,375.21815008726,163
13264,1,11740,둔촌동,2009-02-17,둔촌하이츠,545,84.54,6,1998,37000,437.6626449018216,163
13265,1,11740,둔촌동,2009-02-17,둔촌주공4단지,170-1,99.61,8,1980,80000,803.1322156409999,163
13266,1,11740,둔촌동,2009-02-17,신성둔촌미소지움1,546,59.78,11,1998,31900,533.6232853797256,163
13267,1,11740,둔촌동,2009-02-18,둔촌주공1단지,170-1,51.67,4,1980,55000,1064.447455002903,163
13268,1,11740,둔촌동,2009-02-19,둔촌주공4단지,170-1,99.61,4,1980,82500,828.2300973797811,163
13269,1,11740,둔촌동,2009-02-19,둔촌주공3단지,174-1,96.75,9,1980,70800,731.7829457364342,163
13270,1,11740,둔촌동,2009-02-19,둔촌주공1단지,170-1,88.26,5,1980,83800,949.4674824382506,163
