,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
21271,1,11305,미아동,2020-02-17,벽산라이브파크,1354,84.89,11,2004,51000,600.7774767345977,737
21272,1,11305,미아동,2020-02-17,에스케이북한산시티,1353,84.86,16,2004,55000,648.126325712939,737
21273,1,11305,미아동,2020-02-17,에스케이북한산시티,1353,59.98,13,2004,49400,823.6078692897632,737
21274,1,11305,미아동,2020-02-17,미아동부센트레빌,474,59.96,1,2006,60000,1000.667111407605,737
21275,1,11305,미아동,2020-02-17,래미안트리베라1단지,813,84.97,16,2010,81000,953.2776273979051,737
21276,1,11305,미아동,2020-02-17,에스케이북한산시티,1353,84.86,16,2004,57500,677.5866132453452,737
21277,1,11305,미아동,2020-02-17,미아동부센트레빌,474,84.93,1,2006,74500,877.1929824561403,737
21278,1,11305,미아동,2020-02-17,삼각산아이원,1357,84.705,15,2003,55000,649.3123192255475,737
21279,1,11305,미아동,2020-02-17,삼각산아이원,1357,84.705,15,2003,54000,637.5066406941739,737
21280,1,11305,미아동,2020-02-18,벽산라이브파크,1354,60.0,18,2004,42800,713.3333333333334,737
21281,1,11305,미아동,2020-02-18,벽산라이브파크,1354,60.0,17,2004,43700,728.3333333333334,737
21282,1,11305,미아동,2020-02-18,삼각산아이원,1357,114.88,3,2003,67800,590.1810584958217,737
21283,1,11305,미아동,2020-02-18,삼성래미안트리베라2단지,812,113.89,11,2010,92000,807.7969971024673,737
21284,1,11305,미아동,2020-02-18,에스케이북한산시티,1353,59.98,7,2004,46000,766.922307435812,737
21285,1,11305,미아동,2020-02-19,에스케이북한산시티,1353,59.98,1,2004,47900,798.5995331777259,737
21286,1,11305,미아동,2020-02-19,벽산라이브파크,1354,84.89,8,2004,50800,598.4214866297561,737
21287,1,11305,미아동,2020-02-19,벽산라이브파크,1354,114.68,2,2004,52000,453.4356470177886,737
21288,1,11305,미아동,2020-02-19,에스케이북한산시티,1353,59.98,6,2004,51000,850.2834278092698,737
21289,1,11305,미아동,2020-02-19,삼각산아이원,1357,59.758,15,2003,49000,819.9738947086582,737
