,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11305,미아동,2006-01-11,미아신구,1352,84.9,7,2000,17000
1,11305,미아동,2006-01-16,삼각산아이원,1357,84.705,9,2003,28500
2,11305,미아동,2006-01-16,삼각산아이원,1357,84.705,9,2003,28500
3,11305,미아동,2006-01-16,에스케이북한산시티,1353,59.98,14,2004,17000
4,11305,미아동,2006-01-16,현대성우,561-2,59.4,14,1998,16000
5,11305,미아동,2006-01-17,삼각산아이원,1357,114.88,19,2003,38500
6,11305,미아동,2006-01-17,에스케이북한산시티,1353,59.98,4,2004,17500
7,11305,미아동,2006-01-18,에스케이북한산시티,1353,59.98,15,2004,18250
8,11305,미아동,2006-01-18,현대(190-2),190-2,84.91,9,1992,22400
9,11305,미아동,2006-01-21,에스케이북한산시티,1353,84.76,25,2004,25380
10,11305,미아동,2006-01-24,삼각산아이원,1357,84.705,4,2003,26500
11,11305,미아동,2006-01-24,현대(190-2),190-2,84.91,5,1992,20000
12,11305,미아동,2006-01-24,요진,152,84.85,10,2005,19000
13,11305,미아동,2006-01-25,에스케이북한산시티,1353,59.98,6,2004,17500
14,11305,미아동,2006-01-25,에스케이북한산시티,1353,114.85,22,2004,34000
15,11305,번동,2006-01-09,주공4단지,234,49.94,3,1991,10600
16,11305,번동,2006-01-09,한진,658,58.65,18,2000,12300
17,11305,번동,2006-01-11,주공4단지,234,76.51,14,1991,17500
18,11305,번동,2006-01-13,오동공원현대,760,84.7848,2,2001,22950
19,11305,번동,2006-01-14,번동한양아파트,133-1,84.67,5,1992,15000
20,11305,번동,2006-01-15,주공4단지,234,44.89,4,1991,8350
21,11305,번동,2006-01-17,주공4단지,234,76.51,12,1991,18500
22,11305,번동,2006-01-17,주공1단지,242,49.94,14,1991,11000
23,11305,번동,2006-01-18,주공4단지,234,49.94,9,1991,10800
24,11305,번동,2006-01-19,주공4단지,234,49.94,5,1991,10500
25,11305,번동,2006-01-19,번동한양아파트,133-1,84.67,14,1992,15000
26,11305,번동,2006-01-19,주공4단지,234,44.89,5,1991,8800
27,11305,번동,2006-01-19,주공4단지,234,44.89,12,1991,8475
28,11305,번동,2006-01-22,오동공원현대,760,84.7848,3,2001,23000
29,11305,번동,2006-01-22,번동솔그린,136,59.82,5,1999,11300
30,11305,번동,2006-01-24,번동솔그린,136,59.82,3,1999,11500
31,11305,번동,2006-01-24,오동공원현대,760,117.2775,14,2001,34300
32,11305,번동,2006-01-24,해모로아파트,139,59.98,19,2003,15700
33,11305,번동,2006-01-24,주공4단지,234,59.22,7,1991,13000
34,11305,번동,2006-01-25,해모로아파트,139,59.98,2,2003,14100
35,11305,번동,2006-01-26,주공1단지,242,41.3,5,1991,8000
36,11305,번동,2006-01-26,주공1단지,242,41.3,7,1991,7000
37,11305,번동,2006-01-27,주공4단지,234,84.79,5,1991,19700
38,11305,번동,2006-01-31,주공1단지,242,79.07,11,1991,17550
39,11305,수유동,2006-01-02,수유벽산1차,205,84.92,4,1993,21000
40,11305,수유동,2006-01-02,수유현대,729,84.51,8,2000,19000
41,11305,수유동,2006-01-04,수유벽산1차,205,84.92,5,1993,21900
42,11305,수유동,2006-01-05,수유벽산1차,205,63.78,2,1993,13000
43,11305,수유동,2006-01-12,극동,553-61,84.99,11,1992,18700
44,11305,수유동,2006-01-13,수유삼호,63,74.48,17,1998,16750
45,11305,수유동,2006-01-18,래미안수유,730,59.88,9,2001,18500
46,11305,수유동,2006-01-21,수유벽산2차,648,84.22,4,1994,21000
47,11305,수유동,2006-01-23,수유벽산1차,205,122.58,7,1993,29000
48,11305,수유동,2006-01-24,래미안수유,730,114.78,6,2001,41000
49,11305,수유동,2006-01-25,우암센스뷰,229-50,84.83,4,2005,24700
50,11305,수유동,2006-01-26,수유벽산1차,205,84.95,10,1993,21300
51,11305,우이동,2006-01-10,성원상떼빌,1,84.98,6,1990,16500
52,11305,우이동,2006-01-24,대우,342,84.93,2,2000,23800
53,11305,우이동,2006-01-30,대우,342,84.93,4,2000,27000
54,11305,미아동,2006-02-01,에스케이북한산시티,1353,84.86,25,2004,22000
55,11305,미아동,2006-02-02,현대성우,561-2,59.4,8,1998,15400
56,11305,미아동,2006-02-02,미아신구,1352,59.415,4,2000,12800
57,11305,미아동,2006-02-02,에스케이북한산시티,1353,59.98,12,2004,18400
58,11305,미아동,2006-02-03,에스케이북한산시티,1353,59.98,12,2004,18000
59,11305,미아동,2006-02-04,에스케이북한산시티,1353,59.98,8,2004,18000
60,11305,미아동,2006-02-04,에스케이북한산시티,1353,84.92,7,2004,26400
61,11305,미아동,2006-02-05,에스케이북한산시티,1353,84.71,10,2004,25500
62,11305,미아동,2006-02-07,에스케이북한산시티,1353,84.76,1,2004,22800
63,11305,미아동,2006-02-08,에스케이북한산시티,1353,59.98,18,2004,17700
64,11305,미아동,2006-02-08,삼각산아이원,1357,59.758,19,2003,19950
65,11305,미아동,2006-02-09,현대(190-2),190-2,84.91,3,1992,21800
66,11305,미아동,2006-02-10,에스케이북한산시티,1353,84.92,1,2004,22150
67,11305,미아동,2006-02-10,에스케이북한산시티,1353,84.71,20,2004,26300
68,11305,미아동,2006-02-10,미아신구,1352,84.9,2,2000,15100
69,11305,미아동,2006-02-10,삼각산아이원,1357,114.88,9,2003,31100
70,11305,미아동,2006-02-10,에스케이북한산시티,1353,114.85,17,2004,33700
71,11305,미아동,2006-02-10,에스케이북한산시티,1353,59.98,4,2004,17700
72,11305,미아동,2006-02-11,벽산라이브파크,1354,84.89,8,2004,24900
73,11305,미아동,2006-02-11,벽산라이브파크,1354,114.68,16,2004,35700
74,11305,미아동,2006-02-12,벽산라이브파크,1354,114.68,11,2004,38000
75,11305,미아동,2006-02-13,삼각산아이원,1357,114.88,12,2003,39150
