,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
7680,1,11500,가양동,2007-02-20,가양2단지(성지),1461,39.6,14,1992,15300,386.3636363636364,59
7681,1,11500,가양동,2007-02-22,가양6단지,1485,39.6,13,1992,15400,388.88888888888886,59
7682,1,11500,가양동,2007-02-22,보광드림타운,448-10,112.83,10,2003,46500,412.124434990694,59
7683,1,11500,가양동,2007-02-23,가양6단지,1485,39.6,12,1992,15700,396.4646464646465,59
7684,1,11500,가양동,2007-02-23,가양도시개발9-2단지,1490,39.6,12,1993,14000,353.5353535353535,59
7685,1,11500,가양동,2007-02-24,가양6단지,1485,49.5,13,1992,24700,498.989898989899,59
7686,1,11500,가양동,2007-02-24,강변,1475,34.44,13,1992,11600,336.81765389082466,59
7695,1,11500,내발산동,2007-02-22,월드메르디앙,659-1,112.6932,12,2006,42500,377.13011965229487,59
7696,1,11500,내발산동,2007-02-23,제이월드에메랄드,674-32,160.2,11,2002,35000,218.47690387016232,59
7697,1,11500,내발산동,2007-02-24,다울아크로빌,722-19,140.11,4,2003,43500,310.47034472914135,59
7708,1,11500,등촌동,2007-02-21,"등촌7,8단지주공아파트",707,41.85,15,1994,15500,370.3703703703704,59
7709,1,11500,등촌동,2007-02-22,삼형.그레이스빌,564-7,107.96,4,2001,41000,379.7702852908485,59
7710,1,11500,등촌동,2007-02-23,대동황토방,631-9,84.95,4,2000,45000,529.723366686286,59
7711,1,11500,등촌동,2007-02-24,주공5,695,58.14,13,1995,30970,532.6797385620915,59
7712,1,11500,등촌동,2007-02-24,임광,562-5,71.01,11,2000,28500,401.35192226446975,59
7760,1,11500,방화동,2007-02-20,방화동동부센트레빌(875번지),875,114.99,5,2003,72800,633.0985303069832,59
7761,1,11500,방화동,2007-02-20,방화그린,839,33.6,15,1993,9000,267.85714285714283,59
7762,1,11500,방화동,2007-02-20,장미,841,39.96,6,1994,13000,325.3253253253253,59
7763,1,11500,방화동,2007-02-20,방화12도시개발공사,852,51.03,15,1994,18500,362.5318440133255,59
7764,1,11500,방화동,2007-02-20,방화5,814,49.77,9,1994,18000,361.6636528028933,59
7765,1,11500,방화동,2007-02-21,장미,841,39.96,4,1994,13000,325.3253253253253,59
7766,1,11500,방화동,2007-02-21,방화그린,839,39.76,12,1993,12800,321.9315895372234,59
7767,1,11500,방화동,2007-02-21,홍익,861,70.44,5,1999,17500,248.43838727995458,59
7768,1,11500,방화동,2007-02-22,장미,841,39.96,13,1994,16500,412.91291291291293,59
7769,1,11500,방화동,2007-02-22,방화5,814,39.6,13,1994,13500,340.9090909090909,59
7770,1,11500,방화동,2007-02-23,우림루미아트,873,84.971,8,2003,36600,430.7351920066846,59
7771,1,11500,방화동,2007-02-24,동성,817,64.65,3,1993,27700,428.46094354215,59
7772,1,11500,방화동,2007-02-24,장미,841,39.96,13,1994,14800,370.3703703703704,59
7773,1,11500,방화동,2007-02-24,방화5,814,39.6,8,1994,14000,353.5353535353535,59
7774,1,11500,방화동,2007-02-24,청솔,832,39.36,2,1994,13000,330.2845528455285,59
7775,1,11500,방화동,2007-02-24,방화5,814,39.6,2,1994,13000,328.2828282828283,59
7798,1,11500,염창동,2007-02-20,태영,270-1,84.93,8,1999,43450,511.59778641233953,59
7799,1,11500,염창동,2007-02-21,극동,246-23,59.9,14,2000,28000,467.44574290484144,59
7800,1,11500,염창동,2007-02-22,신동아,289,84.9,11,1995,42800,504.1224970553592,59
7801,1,11500,염창동,2007-02-23,신동아,289,59.82,13,1995,25400,424.60715479772654,59
7828,1,11500,화곡동,2007-02-20,신일골드빌,1012-1,83.97,3,2001,24200,288.1981660116708,59
7829,1,11500,화곡동,2007-02-22,초록,1139,59.34,3,1998,22000,370.74486012807546,59
7830,1,11500,화곡동,2007-02-22,원흥타운,1087-5,83.79,6,1996,18500,220.79007041413055,59
7831,1,11500,화곡동,2007-02-23,윤탁아트리움,1026-18,121.27,6,2003,31700,261.4001814133751,59
7832,1,11500,화곡동,2007-02-24,우공팰리스102동,1026-13,73.3,7,2005,22000,300.1364256480218,59
7833,1,11500,화곡동,2007-02-24,초록,1139,49.14,12,1998,18500,376.4753764753765,59
