,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
11340,1,11620,남현동,2010-11-15,예성그린캐슬1차,1084-1,77.48,7,2003,45700,589.8296334537945,254
11341,1,11620,남현동,2010-11-16,예성그랑펠리체,1138,83.45,10,2007,48000,575.1947273816656,254
11410,1,11620,봉천동,2010-11-14,관악드림(삼성),1712,59.85,18,2003,29400,491.2280701754386,254
11411,1,11620,봉천동,2010-11-14,늘푸른,916-22,81.72,4,2009,35000,428.2917278511992,254
11412,1,11620,봉천동,2010-11-14,관악드림(동아),1712,59.83,10,2003,30300,506.43489888016046,254
11413,1,11620,봉천동,2010-11-15,낙성대현대(296),296,84.97,12,1998,56000,659.0561374602801,254
11414,1,11620,봉천동,2010-11-16,관악푸르지오,1717,59.58,11,2004,30500,511.91675058744545,254
11415,1,11620,봉천동,2010-11-16,관악푸르지오,1717,59.58,19,2004,31200,523.6656596173212,254
11416,1,11620,봉천동,2010-11-16,관악푸르지오,1717,59.58,15,2004,32500,545.4850621013763,254
11417,1,11620,봉천동,2010-11-16,현대(관악),1000,68.8,15,1992,28400,412.7906976744186,254
11418,1,11620,봉천동,2010-11-16,관악드림(동아),1712,114.75,15,2003,52700,459.25925925925924,254
11419,1,11620,봉천동,2010-11-16,두산,1708,84.87,11,2000,47000,553.7881465771179,254
11420,1,11620,봉천동,2010-11-16,관악푸르지오,1717,59.58,19,2004,31300,525.3440751930178,254
11421,1,11620,봉천동,2010-11-16,봉천우성,1706,84.96,10,2000,39800,468.4557438794727,254
11422,1,11620,봉천동,2010-11-16,에메랄드102동,41-259,83.01,3,2007,32500,391.51909408504997,254
11423,1,11620,봉천동,2010-11-17,미소가,39-13,92.734,3,2007,32000,345.07300450751615,254
11424,1,11620,봉천동,2010-11-17,두산,1708,59.92,3,2000,33000,550.7343124165554,254
11425,1,11620,봉천동,2010-11-17,낙성대현대아파트,179-58,84.69,7,1988,42000,495.926319518243,254
11426,1,11620,봉천동,2010-11-17,현대(관악),1000,68.8,2,1992,29800,433.13953488372096,254
11427,1,11620,봉천동,2010-11-17,관악푸르지오,1717,84.2,8,2004,45000,534.4418052256532,254
11428,1,11620,봉천동,2010-11-17,관악푸르지오,1717,59.58,6,2004,30600,513.595166163142,254
11429,1,11620,봉천동,2010-11-18,브라운스톤관악,1721,59.67,4,2005,33000,553.0417295123177,254
11430,1,11620,봉천동,2010-11-18,두산,1708,59.92,17,2000,37900,632.5100133511348,254
11431,1,11620,봉천동,2010-11-19,관악드림(동아),1712,114.75,21,2003,55000,479.3028322440087,254
11432,1,11620,봉천동,2010-11-19,관악푸르지오,1717,59.58,14,2004,32400,543.8066465256798,254
11433,1,11620,봉천동,2010-11-19,관악드림(삼성),1712,84.96,1,2003,35000,411.95856873822976,254
11434,1,11620,봉천동,2010-11-19,관악드림(동아),1712,84.96,1,2003,40000,470.8097928436912,254
11435,1,11620,봉천동,2010-11-20,벽산타운II,1716,79.28,9,2003,34700,437.6892028254289,254
11436,1,11620,봉천동,2010-11-20,벽산블루밍,1718,59.99,6,2005,26000,433.40556759459906,254
11437,1,11620,봉천동,2010-11-20,낙성대현대홈타운,1713,84.92299999999999,5,2002,49800,586.4135746499771,254
11438,1,11620,봉천동,2010-11-20,관악드림(동아),1712,59.83,10,2003,31250,522.3132207922447,254
11439,1,11620,봉천동,2010-11-20,관악푸르지오,1717,59.58,24,2004,31000,520.3088284659282,254
11440,1,11620,봉천동,2010-11-20,관악푸르지오,1717,59.58,14,2004,34450,578.2141658274589,254
11441,1,11620,봉천동,2010-11-20,벽산블루밍,1718,84.99,11,2005,38000,447.1114248735146,254
11525,1,11620,신림동,2010-11-15,관악산휴먼시아 1단지,1735-1,59.96,7,2008,28800,480.3202134756504,254
11526,1,11620,신림동,2010-11-15,주공1,1704-1,59.5,12,1995,22000,369.74789915966386,254
11527,1,11620,신림동,2010-11-17,삼성산주공(주공3단지),1714,58.55,24,2000,25000,426.9854824935952,254
11528,1,11620,신림동,2010-11-17,신림푸르지오,1730,138.74,22,2005,78000,562.2026812743261,254
11529,1,11620,신림동,2010-11-17,서초그린,1732,84.81,4,2005,41000,483.43355736351845,254
11530,1,11620,신림동,2010-11-19,아데나,534-1,18.0,2,2010,14900,827.7777777777778,254
11531,1,11620,신림동,2010-11-19,아데나,534-1,17.94,5,2010,14900,830.5462653288739,254
