,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
22110,1,11215,광장동,2019-11-24,현대파크빌,577,59.76,20,2000,98000,1639.892904953146,725
22111,1,11215,광장동,2019-11-25,워커힐푸르지오,148-4,65.63,5,1987,79000,1203.7178119762305,725
22112,1,11215,광장동,2019-11-25,광장현대9단지,576,59.97,14,1999,89000,1484.0753710188428,725
22113,1,11215,광장동,2019-11-26,광장11현대홈타운,579,84.94,2,2003,130000,1530.4921120791148,725
22114,1,11215,광장동,2019-11-26,워커힐,145-8,196.0,6,1978,230000,1173.469387755102,725
22115,1,11215,광장동,2019-11-26,극동1,218-1,126.94,1,1985,165000,1299.8266897746967,725
22116,1,11215,광장동,2019-11-26,광장힐스테이트,582,84.96,8,2012,166500,1959.7457627118645,725
22117,1,11215,광장동,2019-11-26,워커힐푸르지오,148-4,65.63,10,1987,80000,1218.9547463050435,725
22118,1,11215,광장동,2019-11-26,청구,566,59.95,9,1996,80000,1334.4453711426188,725
22119,1,11215,광장동,2019-11-27,청구,566,59.95,2,1996,76000,1267.7231025854878,725
22120,1,11215,광장동,2019-11-29,현대파크빌,577,84.81,23,2000,135000,1591.7934205871948,725
22121,1,11215,광장동,2019-11-29,현대파크빌,577,84.81,2,2000,127000,1497.464921589435,725
22122,1,11215,광장동,2019-11-29,청구,566,59.95,14,1996,89000,1484.5704753961634,725
22123,1,11215,광장동,2019-11-29,"현대8(801동,802동)",565,84.92,8,1995,128000,1507.3009891662741,725
22124,1,11215,광장동,2019-11-29,현대5,554-7,59.67,10,1989,107500,1801.5753309870956,725
22125,1,11215,광장동,2019-11-29,워커힐,145-8,162.41,6,1981,183000,1126.7779077643002,725
22126,1,11215,광장동,2019-11-30,청구,566,59.95,6,1996,89500,1492.9107589658047,725
22149,1,11215,구의동,2019-11-28,강변아파트,198-5,97.92,4,2004,41000,418.7091503267974,725
22150,1,11215,구의동,2019-11-29,세림리오빌,659,84.67,5,2005,73800,871.6192275894649,725
22151,1,11215,구의동,2019-11-30,구의현대2단지,611,84.75,7,1996,130000,1533.9233038348082,725
22161,1,11215,군자동,2019-11-27,동양파라곤(2),358-9,72.5,3,2008,64500,889.6551724137931,725
22162,1,11215,군자동,2019-11-27,일성파크,99,59.96,3,1996,48000,800.533689126084,725
22163,1,11215,군자동,2019-11-30,일성파크,99,84.96,1,1996,59000,694.4444444444445,725
22232,1,11215,자양동,2019-11-24,한강성원,831-1,84.12,18,1997,90000,1069.9001426533523,725
22233,1,11215,자양동,2019-11-25,자양10차현대홈타운,792,84.46,12,2002,115000,1361.5912858157708,725
22234,1,11215,자양동,2019-11-25,이튼타워리버3차,855,122.69,5,2007,117000,953.6229521558399,725
22235,1,11215,자양동,2019-11-26,광진트라팰리스,854,153.79,12,2006,164250,1068.014825411275,725
22236,1,11215,자양동,2019-11-26,한강우성,Jan-87,84.72,3,1993,96000,1133.14447592068,725
22237,1,11215,자양동,2019-11-26,한강극동,57-103,84.45,8,1991,90000,1065.7193605683835,725
22238,1,11215,자양동,2019-11-26,로얄동아,644,59.91,10,1999,64000,1068.269070272075,725
22239,1,11215,자양동,2019-11-26,로얄동아,644,114.28,8,1999,110000,962.5481274063703,725
22240,1,11215,자양동,2019-11-26,광진하우스토리한강,813,141.54,16,2008,130698,923.3997456549386,725
22241,1,11215,자양동,2019-11-27,이튼타워리버5차,856,128.39,1,2009,139000,1082.638834800218,725
22242,1,11215,자양동,2019-11-27,자양2현대,761,59.95,1,1995,75000,1251.0425354462052,725
22243,1,11215,자양동,2019-11-27,현대3,670,84.9,17,1996,100000,1177.8563015312131,725
22244,1,11215,자양동,2019-11-27,한라,762,84.6,1,1996,83000,981.0874704491727,725
22245,1,11215,자양동,2019-11-27,이튼타워리버5차,856,84.96,7,2009,130000,1530.1318267419963,725
22246,1,11215,자양동,2019-11-27,대동,784-1,59.54,1,1999,63500,1066.5099093046692,725
22247,1,11215,자양동,2019-11-27,이튼타워리버3차,855,84.96,6,2007,100000,1177.0244821092278,725
22248,1,11215,자양동,2019-11-27,로얄동아,644,84.83,9,1999,89000,1049.1571378050219,725
22249,1,11215,자양동,2019-11-27,우성5,553-41,84.72,8,1990,90000,1062.3229461756373,725
22250,1,11215,자양동,2019-11-28,더샵스타시티,227-7,139.6,4,2007,153000,1095.9885386819485,725
22251,1,11215,자양동,2019-11-28,한강우성,Jan-87,84.72,7,1993,99000,1168.5552407932012,725
22252,1,11215,자양동,2019-11-28,더샵스타시티,227-7,119.41,36,2007,144000,1205.9291516623398,725
22253,1,11215,자양동,2019-11-28,광진하우스토리한강,813,143.36,10,2008,122006,851.0463169642857,725
22254,1,11215,자양동,2019-11-29,더샵스타시티,227-7,163.53,8,2007,174000,1064.0249495505411,725
22255,1,11215,자양동,2019-11-29,더샵스타시티,227-7,110.92,42,2007,147500,1329.787234042553,725
22256,1,11215,자양동,2019-11-30,경남아너스빌,666-28,84.86,14,1997,76500,901.4847984916332,725
22257,1,11215,자양동,2019-11-30,한라,762,59.96,13,1996,70000,1167.4449633088725,725
22258,1,11215,자양동,2019-11-30,우성1,579,59.91,2,1988,76000,1268.569520948089,725
22259,1,11215,자양동,2019-11-30,우성3,516,51.39,4,1989,80500,1566.4526172407084,725
22260,1,11215,자양동,2019-11-30,경남아너스빌,666-28,59.79,9,1997,62000,1036.9627027931092,725
