,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11215,광장동,2006-01-05,극동2,218-1,75.55,7,1989,40500
1,11215,광장동,2006-01-06,극동1,218-1,156.92,1,1985,94500
2,11215,광장동,2006-01-07,현대파크빌,577,84.81,10,2000,51000
3,11215,광장동,2006-01-07,청구,566,59.95,1,1996,21000
4,11215,광장동,2006-01-09,광나루현대,567,84.92,13,1996,42500
5,11215,광장동,2006-01-10,현대3,484,74.92,17,1990,37900
6,11215,광장동,2006-01-12,광나루현대,567,84.92,10,1996,39000
7,11215,광장동,2006-01-12,광장현대9단지,576,59.97,25,1999,28000
8,11215,광장동,2006-01-13,현대파크빌,577,59.76,4,2000,31000
9,11215,광장동,2006-01-14,현대3,484,59.67,5,1990,26500
10,11215,광장동,2006-01-14,현대3,484,84.97,15,1990,46500
11,11215,광장동,2006-01-15,청구,566,84.86,1,1996,35500
12,11215,광장동,2006-01-16,"현대8(801동,802동)",565,84.92,1,1995,37800
13,11215,광장동,2006-01-16,삼성광장2,453-1,58.62,10,1989,25000
14,11215,광장동,2006-01-16,현대파크빌,577,59.76,2,2000,28500
15,11215,광장동,2006-01-17,현대파크빌,577,59.76,1,2000,24000
16,11215,광장동,2006-01-17,현대5,554-7,59.67,7,1989,32000
17,11215,광장동,2006-01-19,삼성광장1,561,66.03,6,1987,36800
18,11215,광장동,2006-01-19,현대5,554-7,59.67,7,1989,26900
19,11215,광장동,2006-01-19,현대5,554-7,83.93,1,1989,39000
20,11215,광장동,2006-01-20,현대5,554-7,59.67,11,1989,33700
21,11215,광장동,2006-01-20,극동1,218-1,126.94,9,1985,93000
22,11215,광장동,2006-01-20,청구,566,84.86,18,1996,43000
23,11215,광장동,2006-01-21,현대5,554-7,59.67,4,1989,30500
24,11215,광장동,2006-01-21,삼성광장2,453-1,58.62,10,1989,26400
25,11215,광장동,2006-01-21,삼성광장2,453-1,69.06,14,1989,35000
26,11215,광장동,2006-01-21,현대3,484,84.97,15,1990,51800
27,11215,광장동,2006-01-21,청구,566,84.86,20,1996,44700
28,11215,광장동,2006-01-21,삼성광장2,453-1,58.62,3,1989,25800
29,11215,광장동,2006-01-22,현대3,484,84.97,16,1990,51500
30,11215,광장동,2006-01-22,"현대8(801동,802동)",565,84.92,3,1995,38500
31,11215,광장동,2006-01-22,청구,566,59.95,4,1996,24000
32,11215,광장동,2006-01-22,광장현대9단지,576,84.96,5,1999,42500
33,11215,광장동,2006-01-22,현대3,484,59.67,8,1990,29700
34,11215,광장동,2006-01-23,청구,566,84.86,23,1996,39000
35,11215,광장동,2006-01-23,광장현대9단지,576,84.96,5,1999,43500
36,11215,광장동,2006-01-23,극동2,218-1,75.55,12,1989,40000
37,11215,광장동,2006-01-23,삼성광장2,453-1,58.62,6,1989,25000
38,11215,광장동,2006-01-24,현대5,554-7,74.88,1,1989,38000
39,11215,광장동,2006-01-24,극동2,218-1,75.55,5,1989,41000
40,11215,광장동,2006-01-24,현대3,484,84.97,17,1990,45900
41,11215,광장동,2006-01-25,청구,566,59.95,21,1996,25000
42,11215,광장동,2006-01-26,"현대8(801동,802동)",565,84.92,14,1995,51500
43,11215,광장동,2006-01-27,현대파크빌,577,84.81,8,2000,51900
44,11215,광장동,2006-01-31,삼성광장1,561,66.03,6,1987,35500
45,11215,광장동,2006-01-31,광나루현대,567,84.92,3,1996,35350
46,11215,광장동,2006-01-31,극동2,218-1,84.55,14,1989,48000
47,11215,구의동,2006-01-05,현대프라임,631-1,84.99,22,1997,51000
48,11215,구의동,2006-01-14,현대프라임,631-1,84.99,2,1997,39600
49,11215,구의동,2006-01-16,현대프라임,631-1,59.82,2,1997,24250
50,11215,구의동,2006-01-16,현대프라임,631-1,59.82,22,1997,28700
51,11215,구의동,2006-01-17,삼성쉐르빌,199-18,156.73,6,2001,65000
52,11215,구의동,2006-01-18,현대프라임,631-1,84.99,6,1997,42900
53,11215,구의동,2006-01-18,현대프라임,631-1,59.82,20,1997,28000
54,11215,구의동,2006-01-21,구의현대2단지,611,84.91,15,1996,43000
55,11215,구의동,2006-01-21,현대프라임,631-1,126.66,7,1997,89000
56,11215,구의동,2006-01-21,구의현대7단지현대홈타운,587-54,84.99,9,1997,37800
57,11215,구의동,2006-01-21,현대프라임,631-1,84.99,7,1997,51500
58,11215,구의동,2006-01-22,구의현대2단지,611,84.91,24,1996,39500
59,11215,구의동,2006-01-23,구의현대2단지,611,84.91,21,1996,44500
60,11215,구의동,2006-01-23,아크로리버,589-10,150.6416,27,2004,100000
61,11215,구의동,2006-01-24,현대프라임,631-1,59.82,8,1997,29000
62,11215,구의동,2006-01-24,구의현대2단지,611,84.86,7,1996,41000
63,11215,구의동,2006-01-24,현대프라임,631-1,183.87,9,1997,130000
64,11215,구의동,2006-01-25,구의강변우성아파트,546-7,84.76,1,1992,32500
65,11215,구의동,2006-01-25,구의현대2단지,611,84.88,26,1996,35500
66,11215,구의동,2006-01-25,구의현대7단지현대홈타운,587-54,59.97,9,1997,24500
67,11215,구의동,2006-01-26,구의강변우성아파트,546-7,84.76,5,1992,34000
68,11215,구의동,2006-01-26,구의현대2단지,611,84.91,20,1996,45000
69,11215,구의동,2006-01-26,현대프라임,631-1,59.82,1,1997,24600
70,11215,구의동,2006-01-26,현대프라임,631-1,59.82,18,1997,33800
71,11215,구의동,2006-01-26,현대프라임,631-1,59.82,25,1997,28000
72,11215,군자동,2006-01-18,일성파크,99,84.96,14,1996,29700
73,11215,자양동,2006-01-04,우성1,579,59.91,1,1988,20000
74,11215,자양동,2006-01-06,현대강변,673,81.94,8,1991,31000
75,11215,자양동,2006-01-07,자양8차현대홈타운,789,80.47,4,2002,45700
76,11215,자양동,2006-01-07,경남아너스빌,666-28,84.86,9,1997,30550
77,11215,자양동,2006-01-08,자양현대5,642,59.72,8,1998,25500
78,11215,자양동,2006-01-09,자양현대5,642,59.72,11,1998,25800
79,11215,자양동,2006-01-09,한강아남,830,83.59,6,1995,27500
80,11215,자양동,2006-01-09,한라,762,59.96,11,1996,25000
81,11215,자양동,2006-01-10,우성2,520-2,51.57,7,1989,20500
82,11215,자양동,2006-01-12,경남아너스빌,666-28,59.79,12,1997,20800
83,11215,자양동,2006-01-13,자양2현대,761,84.88,12,1995,39500
84,11215,자양동,2006-01-13,우성1,579,59.91,7,1988,24500
85,11215,자양동,2006-01-16,현대3,670,84.9,2,1996,36500
86,11215,자양동,2006-01-16,현대강변,673,81.94,9,1991,32150
87,11215,자양동,2006-01-18,자양현대6,786,59.98,14,1999,25500
88,11215,자양동,2006-01-20,우성1,579,59.91,12,1988,25000
89,11215,자양동,2006-01-20,현대3,670,59.97,4,1996,20100
90,11215,자양동,2006-01-21,한솔리베르,672,83.31,11,2002,37000
91,11215,자양동,2006-01-21,현대강변,673,82.08,7,1991,33800
92,11215,자양동,2006-01-21,대원리버빌,587-6,78.8,4,2001,28500
93,11215,자양동,2006-01-23,한강현대,829,83.45,8,1993,30650
94,11215,자양동,2006-01-23,자양8차현대홈타운,789,80.47,6,2002,48500
95,11215,자양동,2006-01-23,경남,641,59.96,8,1999,21000
96,11215,자양동,2006-01-24,자양우성7,783-1,59.94,4,1998,25700
97,11215,자양동,2006-01-25,우성1,579,79.75,3,1988,34000
98,11215,자양동,2006-01-26,현대강변,673,81.94,11,1991,32300
99,11215,자양동,2006-01-26,한강우성,Jan-87,84.72,10,1993,39500
100,11215,자양동,2006-01-26,우성3,516,72.34,8,1989,40300
101,11215,자양동,2006-01-26,우성1,579,79.75,2,1988,36850
102,11215,중곡동,2006-01-24,중곡1단지,191-77,48.46,2,1976,11000
103,11215,화양동,2006-01-18,화양현대,234,59.99,8,1999,22300
104,11215,화양동,2006-01-31,화양현대,234,59.97,13,1999,22600
105,11215,광장동,2006-02-01,현대파크빌,577,59.76,20,2000,32000
106,11215,광장동,2006-02-02,현대3,484,84.97,8,1990,45000
107,11215,광장동,2006-02-02,현대5,554-7,84.56,8,1989,58000
108,11215,광장동,2006-02-02,청구,566,59.95,3,1996,23200
109,11215,광장동,2006-02-03,현대5,554-7,84.56,15,1989,57500
110,11215,광장동,2006-02-03,현대파크빌,577,84.81,8,2000,53000
111,11215,광장동,2006-02-03,현대파크빌,577,84.81,7,2000,52700
112,11215,광장동,2006-02-03,현대5,554-7,84.56,11,1989,59000
113,11215,광장동,2006-02-03,현대파크빌,577,84.81,3,2000,49800
114,11215,광장동,2006-02-04,극동1,218-1,126.94,2,1985,85000
115,11215,광장동,2006-02-04,현대파크빌,577,59.55,11,2000,35400
116,11215,광장동,2006-02-04,청구,566,59.95,9,1996,25500
117,11215,광장동,2006-02-04,청구,566,84.86,4,1996,41000
118,11215,광장동,2006-02-06,현대3,484,59.67,7,1990,25700
119,11215,광장동,2006-02-06,극동2,218-1,75.55,6,1989,40500
120,11215,광장동,2006-02-06,현대파크빌,577,84.81,2,2000,52000
121,11215,광장동,2006-02-06,청구,566,59.95,20,1996,25500
122,11215,광장동,2006-02-07,현대3,484,59.67,15,1990,29600
123,11215,광장동,2006-02-07,광장현대9단지,576,84.96,25,1999,45200
124,11215,광장동,2006-02-07,현대3,484,84.97,4,1990,45200
125,11215,광장동,2006-02-07,현대파크빌,577,84.81,5,2000,48800
126,11215,광장동,2006-02-07,금호베스트빌,578,84.91,14,2001,43500
