,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
32618,1,11350,상계동,2008-12-29,상계주공7(고층),691,45.77,5,1988,18100,395.45553856237706,156
32619,1,11350,상계동,2008-12-29,상계주공14(고층),626,49.94,5,1989,19500,390.4685622747297,156
32620,1,11350,상계동,2008-12-29,상계주공14(고층),626,41.3,5,1989,14800,358.3535108958838,156
32621,1,11350,상계동,2008-12-29,상계주공11(고층),652,58.01,3,1988,20500,353.38734700913636,156
32622,1,11350,상계동,2008-12-30,상계주공16(고층),624,59.39,15,1988,15000,252.56777235224786,156
32623,1,11350,상계동,2008-12-30,상계주공1(고층),765,32.39,12,1988,11700,361.2225995677678,156
32641,1,11350,월계동,2008-12-29,주공2,556,44.94,5,1993,18000,400.5340453938585,156
32642,1,11350,월계동,2008-12-29,한진한화그랑빌,18,84.97,5,2002,35500,417.79451571142755,156
32673,1,11350,중계동,2008-12-29,중계무지개,512,49.54,10,1991,20000,403.7141703673799,156
32674,1,11350,중계동,2008-12-30,상아,505,51.29,11,1989,20000,389.9395593682979,156
32675,1,11350,중계동,2008-12-30,주공8,362-1,49.72,2,1993,25000,502.81576830249395,156
32676,1,11350,중계동,2008-12-30,청구3,360-2,84.77,2,1996,42000,495.45829892650704,156
32677,1,11350,중계동,2008-12-31,금호타운(583),583,59.52,11,1997,25500,428.42741935483866,156
32678,1,11350,중계동,2008-12-31,성원1,580,84.42,11,1996,52000,615.9677801468846,156
32688,1,11350,공릉동,2009-01-03,화랑해링턴플레이스아파트,746,126.78,9,1999,50000,394.38397223536833,156
32689,1,11350,공릉동,2009-01-03,두산힐스빌아파트,747,60.0,3,2000,25000,416.6666666666667,156
32690,1,11350,공릉동,2009-01-03,공릉동 한보에센시티아파트,743,59.4,3,2000,18600,313.13131313131316,156
32793,1,11350,월계동,2009-01-01,삼호4,12,50.18,9,1987,23500,468.3140693503388,156
32794,1,11350,월계동,2009-01-02,미륭,13,51.48,10,1986,22000,427.35042735042737,156
32843,1,11350,중계동,2009-01-01,중계그린1단지,502-1,49.85,15,1990,21500,431.2938816449348,156
32844,1,11350,중계동,2009-01-03,건영3,360-15,84.9,2,1995,43600,513.545347467609,156
32845,1,11350,중계동,2009-01-03,주공10,360-16,58.14,4,1995,43600,749.9140006879945,156
32846,1,11350,중계동,2009-01-03,성원1,580,59.75,4,1996,34500,577.4058577405858,156
