,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
7362,1,11320,도봉동,2007-03-18,동아에코빌,654,84.96700000000001,3,2003,31500,370.7321666058587,63
7363,1,11320,도봉동,2007-03-19,한신,30-1,84.94,1,1995,24300,286.08429479632684,63
7364,1,11320,도봉동,2007-03-20,럭키,595,84.86,3,1992,25900,305.20857883572944,63
7365,1,11320,도봉동,2007-03-20,럭키,595,84.86,13,1992,27800,327.59839736035826,63
7366,1,11320,도봉동,2007-03-21,서원,641,49.77,15,1996,14000,281.2939521800281,63
7367,1,11320,도봉동,2007-03-21,삼안리치,570-10,67.34,5,2002,14000,207.9002079002079,63
7368,1,11320,도봉동,2007-03-21,서원,641,49.77,5,1996,13500,271.24773960217,63
7369,1,11320,도봉동,2007-03-22,서원,641,39.85,9,1996,9500,238.3939774153074,63
7370,1,11320,도봉동,2007-03-22,서원,641,59.76,1,1996,15150,253.5140562248996,63
7371,1,11320,도봉동,2007-03-22,한신,30-1,84.94,14,1995,29200,343.77207440546266,63
7372,1,11320,도봉동,2007-03-22,서원,641,39.85,13,1996,9500,238.3939774153074,63
7373,1,11320,도봉동,2007-03-23,서원,641,39.85,7,1996,9900,248.43161856963613,63
7374,1,11320,도봉동,2007-03-23,한신,30-1,84.94,1,1995,25000,294.3254061690605,63
7375,1,11320,도봉동,2007-03-23,서울가든,555,75.33,6,1987,17000,225.67370237621134,63
7376,1,11320,도봉동,2007-03-24,서원,641,49.77,14,1996,14000,281.2939521800281,63
7377,1,11320,도봉동,2007-03-24,극동,81-1,84.83,6,1991,21000,247.55393139219615,63
7378,1,11320,도봉동,2007-03-24,도봉산리베니움,571,84.19,2,2004,21500,255.37474759472622,63
7438,1,11320,방학동,2007-03-19,대원그린아파트,444-31,53.7,12,1987,10000,186.21973929236498,63
7439,1,11320,방학동,2007-03-20,벽산아파트2,496,59.581,2,1998,17000,285.3258589147547,63
7440,1,11320,방학동,2007-03-20,대원그린아파트,444-31,46.86,1,1987,7800,166.45326504481434,63
7441,1,11320,방학동,2007-03-20,신동아아파트1,271-1,70.62,3,1987,19500,276.12574341546303,63
7442,1,11320,방학동,2007-03-21,우암쎈스뷰아파트,713-12,84.98299999999998,8,2003,24800,291.8230704964523,63
7443,1,11320,방학동,2007-03-21,신동아타워아파트,736,60.0,12,1997,12900,215.0,63
7444,1,11320,방학동,2007-03-22,벽산아파트2,496,59.581,11,1998,17550,294.5569896443497,63
7445,1,11320,방학동,2007-03-22,신동아아파트1,271-1,43.35,5,1988,9500,219.14648212226066,63
7446,1,11320,방학동,2007-03-22,동일아파트,621-6,57.19,4,2002,10850,189.718482252142,63
7447,1,11320,방학동,2007-03-22,신동아아파트1,271-1,43.35,6,1988,9650,222.6066897347174,63
7448,1,11320,방학동,2007-03-22,신동아아파트1,271-1,53.16,8,1989,15100,284.04815650865316,63
7449,1,11320,방학동,2007-03-23,청구아파트,734,84.97,8,1995,24858,292.5503118747793,63
7450,1,11320,방학동,2007-03-24,거성학마을아파트,701-15,59.99,2,1994,15900,265.0441740290048,63
7451,1,11320,방학동,2007-03-24,우암쎈스뷰아파트,713-12,67.971,4,2003,19900,292.77191743537685,63
7452,1,11320,방학동,2007-03-24,대상타운현대아파트,720-1,60.0,15,2001,26900,448.3333333333333,63
7541,1,11320,쌍문동,2007-03-19,브라운스톤쌍문,729,74.8,7,2006,24500,327.5401069518717,63
7542,1,11320,쌍문동,2007-03-19,한양4,59,28.71,13,1989,6250,217.6941832114246,63
7543,1,11320,쌍문동,2007-03-19,대우파크빌,159,169.55,8,1999,58000,342.08198171630784,63
7544,1,11320,쌍문동,2007-03-19,신원2,723,60.0,5,1998,13300,221.66666666666666,63
