,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
31829,1,11230,답십리동,2018-01-14,래미안위브,1003,59.99,2,2014,63500,1058.5097516252708,628
31830,1,11230,답십리동,2018-01-14,래미안위브,1003,84.99,17,2014,79000,929.5211201317803,628
31831,1,11230,답십리동,2018-01-14,래미안위브,1003,121.94,10,2014,89800,736.4277513531244,628
31832,1,11230,답십리동,2018-01-15,동아,10,59.88,9,2001,38500,642.9525718102872,628
31833,1,11230,답십리동,2018-01-15,래미안위브,1003,84.99,16,2014,80000,941.2872102600306,628
31834,1,11230,답십리동,2018-01-15,동답한신,42,59.22,7,1992,32000,540.3579871664978,628
31835,1,11230,답십리동,2018-01-15,답십리청솔우성,80,59.74,8,2000,37800,632.7418814864412,628
31836,1,11230,답십리동,2018-01-15,두산위브,998,84.91,6,2007,59300,698.3865269108468,628
31837,1,11230,답십리동,2018-01-15,래미안위브,1003,59.97,11,2014,65700,1095.5477738869436,628
31838,1,11230,답십리동,2018-01-16,청계벽산메가트리움,999,59.93,7,2006,36500,609.043884531954,628
31839,1,11230,답십리동,2018-01-16,세양청마루,997,84.98,1,2005,40000,470.6989879971758,628
31840,1,11230,답십리동,2018-01-16,우성그린,989-1,84.98,9,1997,39500,464.8152506472111,628
31841,1,11230,답십리동,2018-01-16,답십리청솔우성,80,59.74,15,2000,38300,641.1114830934048,628
31842,1,11230,답십리동,2018-01-16,청솔2차우성,80-2,59.97,6,2000,39900,665.3326663331666,628
31843,1,11230,답십리동,2018-01-16,두산위브,998,84.91,14,2007,59000,694.8533741608762,628
31844,1,11230,답십리동,2018-01-17,답십리청솔우성,80,59.89,5,2000,41300,689.5975955919185,628
31845,1,11230,답십리동,2018-01-17,우성그린,989-1,59.36,13,1997,31300,527.2911051212938,628
31846,1,11230,답십리동,2018-01-18,동아,10,84.72,14,2001,43500,513.456090651558,628
31847,1,11230,답십리동,2018-01-18,래미안위브,1003,84.99,11,2014,76000,894.2228497470292,628
31848,1,11230,답십리동,2018-01-18,답십리청솔우성,80,59.74,18,2000,38000,636.0897221292266,628
31849,1,11230,답십리동,2018-01-18,래미안위브,1003,84.99,5,2014,80000,941.2872102600306,628
31850,1,11230,답십리동,2018-01-18,래미안위브,1003,59.99,8,2014,70200,1170.1950325054174,628
31851,1,11230,답십리동,2018-01-18,우성그린,989-1,59.36,9,1997,31800,535.7142857142857,628
31852,1,11230,답십리동,2018-01-19,삼희,530-5,72.64,6,1983,32500,447.41189427312776,628
31853,1,11230,답십리동,2018-01-19,답십리청솔우성,80,59.74,23,2000,38300,641.1114830934048,628
31854,1,11230,답십리동,2018-01-19,답십리청솔우성,80,59.89,4,2000,41800,697.9462347637335,628
31855,1,11230,답십리동,2018-01-19,대림,808,114.9,18,2003,49500,430.8093994778068,628
31856,1,11230,답십리동,2018-01-20,대림,808,84.66,3,2003,41200,486.6524923222301,628
31857,1,11230,답십리동,2018-01-20,현대썬앤빌청계,530-15,14.82,7,2016,14400,971.65991902834,628
31858,1,11230,답십리동,2018-01-20,답십리대우,111,59.76,17,2002,42000,702.8112449799197,628
31859,1,11230,답십리동,2018-01-20,답십리청솔우성,80,59.74,5,2000,38000,636.0897221292266,628
31860,1,11230,답십리동,2018-01-20,래미안엘파인아파트,1000,114.82,6,2011,59000,513.8477617139871,628
31861,1,11230,답십리동,2018-01-20,답십리청솔우성,80,59.74,15,2000,38800,649.4810847003682,628
31862,1,11230,답십리동,2018-01-20,동답한신,42,44.35,2,1992,28300,638.1059751972942,628
31863,1,11230,답십리동,2018-01-20,동아,10,84.72,4,2001,45000,531.1614730878186,628
31864,1,11230,답십리동,2018-01-20,래미안위브,1003,121.64,5,2014,88000,723.4462347911871,628
31865,1,11230,답십리동,2018-01-20,두산위브,998,84.91,12,2007,59600,701.9196796608173,628
31919,1,11230,용두동,2018-01-14,신동아,779,58.59,9,1994,38000,648.5748421232291,628
31920,1,11230,용두동,2018-01-15,동대문푸르지오시티(도시형생활주택),104-3,30.11,23,2016,35000,1162.4045167718366,628
31921,1,11230,용두동,2018-01-18,신동아,779,84.63,16,1994,47450,560.6758832565284,628
31922,1,11230,용두동,2018-01-20,래미안 허브리츠,792,84.97,16,2011,73000,859.1267506178651,628
31923,1,11230,용두동,2018-01-20,신동아,779,84.63,16,1994,45700,539.9976367718303,628
31943,1,11230,이문동,2018-01-15,쌍용,64,84.89,1,2000,39750,468.25303333726,628
31944,1,11230,이문동,2018-01-20,래미안이문2차,311,59.79,4,2004,46500,777.7220270948319,628
31945,1,11230,이문동,2018-01-20,쌍용,64,114.35,6,2000,47400,414.5168342807171,628
31946,1,11230,이문동,2018-01-20,현대,54,59.92,20,2000,34500,575.7676902536715,628
32006,1,11230,장안동,2018-01-14,래미안장안,354-2,84.774,20,2003,53800,634.6285417698823,628
32007,1,11230,장안동,2018-01-15,르메이에르장안타운6차,342-3,84.92,2,2005,34000,400.37682524729155,628
32008,1,11230,장안동,2018-01-15,장안현대,95-1,95.45,7,1984,43200,452.59298061812467,628
32009,1,11230,장안동,2018-01-16,장한평 월드메르디앙,573,84.95,4,2006,45800,539.1406709829312,628
32010,1,11230,장안동,2018-01-16,장한평 월드메르디앙,573,84.95,3,2006,45800,539.1406709829312,628
32011,1,11230,장안동,2018-01-16,장안현대홈타운(336),336,112.78,26,2003,60000,532.0092214931725,628
32012,1,11230,장안동,2018-01-17,르미에르장안타운5차,335-8,49.6,13,2005,24800,500.0,628
32013,1,11230,장안동,2018-01-17,형인허브빌101동(417-3),417-3,100.83,9,2004,42000,416.5426956263017,628
32014,1,11230,장안동,2018-01-17,래미안장안2차,329-3,81.05,18,2007,55450,684.1455891425046,628
32015,1,11230,장안동,2018-01-18,장안현대홈타운(336),336,84.87,7,2003,52700,620.9496877577471,628
32016,1,11230,장안동,2018-01-18,한신아파트,555-1,84.4,2,1996,39500,468.0094786729858,628
32017,1,11230,장안동,2018-01-18,래미안장안2차,329-3,81.05,8,2007,54000,666.2553979025294,628
32018,1,11230,장안동,2018-01-18,형인허브빌2차(566),566,83.65,10,2005,41000,490.13747758517627,628
32019,1,11230,장안동,2018-01-18,장안현대홈타운(336),336,84.87,8,2003,52500,618.5931424531636,628
32020,1,11230,장안동,2018-01-19,경남하이빌,578,84.56,8,2008,37000,437.55912961210976,628
32021,1,11230,장안동,2018-01-19,장안현대홈타운(336),336,112.78,4,2003,63000,558.6096825678312,628
32022,1,11230,장안동,2018-01-19,한신아파트,555-1,84.9,9,1996,39100,460.54181389870433,628
32023,1,11230,장안동,2018-01-19,장안현대홈타운(336),336,59.54,3,2003,44900,754.1148807524354,628
32024,1,11230,장안동,2018-01-20,장안현대홈타운(336),336,133.72,4,2003,65000,486.0903380197428,628
32025,1,11230,장안동,2018-01-20,래미안장안2차,329-3,81.05,21,2007,55300,682.2948797038865,628
32026,1,11230,장안동,2018-01-20,일성트루엘,581,59.9819,4,2012,40000,666.8678384646034,628
32027,1,11230,장안동,2018-01-20,장안현대홈타운(336),336,58.42,9,2003,45000,770.2841492639507,628
32028,1,11230,장안동,2018-01-20,래미안장안2차,329-3,112.92,7,2007,61700,546.4045341834927,628
32029,1,11230,장안동,2018-01-20,장안현대홈타운(336),336,84.87,2,2003,48500,571.462236361494,628
32030,1,11230,장안동,2018-01-20,방원예뜨랑,556,89.2,5,2002,38000,426.00896860986546,628
32031,1,11230,장안동,2018-01-20,장안힐스테이트,329-2,59.885,17,2007,47000,784.8376054103699,628
32032,1,11230,장안동,2018-01-20,장안현대,95-1,95.45,8,1984,43500,455.73598742797276,628
32033,1,11230,장안동,2018-01-20,래미안장안2차,329-3,64.85,5,2007,46800,721.6653816499615,628
32034,1,11230,장안동,2018-01-20,래미안장안2차,329-3,81.05,3,2007,52300,645.2806909315237,628
32035,1,11230,장안동,2018-01-20,래미안장안2차,329-3,81.05,3,2007,52750,650.8328192473782,628
32122,1,11230,전농동,2018-01-15,전농우성,6,115.56,3,1992,41500,359.12080304603666,628
32123,1,11230,전농동,2018-01-15,전농동삼성래미안,155,59.93,3,2000,39000,650.7592190889371,628
32124,1,11230,전농동,2018-01-15,전농SK,10,114.3,12,2000,52000,454.94313210848645,628
32125,1,11230,전농동,2018-01-15,전농우성,6,84.84,14,1992,40000,471.47571900047143,628
32126,1,11230,전농동,2018-01-15,전농SK,10,59.34,19,2000,41000,690.9336029659588,628
32127,1,11230,전농동,2018-01-17,래미안 크레시티,690,59.99,3,2014,65500,1091.84864144024,628
32128,1,11230,전농동,2018-01-17,래미안 크레시티,690,59.99,17,2014,67000,1116.8528088014668,628
32129,1,11230,전농동,2018-01-17,전농우성,6,44.24,9,1992,27800,628.3905967450271,628
32130,1,11230,전농동,2018-01-17,전농우성,6,115.56,11,1992,46500,402.3883696780893,628
32131,1,11230,전농동,2018-01-17,전농동삼성래미안,155,84.98,9,2000,51000,600.1412096963991,628
32132,1,11230,전농동,2018-01-18,전농우성,6,84.84,5,1992,40900,482.08392267798206,628
32133,1,11230,전농동,2018-01-18,전농SK,10,59.34,4,2000,37900,638.6922817660936,628
32134,1,11230,전농동,2018-01-19,래미안아름숲,688,84.92,1,2012,59000,694.7715496938295,628
32135,1,11230,전농동,2018-01-19,전농동삼성래미안,155,114.89,17,2000,54500,474.3667856210288,628
32136,1,11230,전농동,2018-01-19,전농SK,10,59.34,5,2000,38800,653.8591169531513,628
32137,1,11230,전농동,2018-01-19,래미안 크레시티,690,121.95,2,2014,84700,694.5469454694547,628
32138,1,11230,전농동,2018-01-20,전농동삼성래미안,155,59.93,2,2000,37500,625.7300183547472,628
32139,1,11230,전농동,2018-01-20,전농SK,10,84.95,18,2000,50000,588.5815185403178,628
32140,1,11230,전농동,2018-01-20,전농우성,6,115.56,10,1992,44700,386.81204569055035,628
32141,1,11230,전농동,2018-01-20,래미안 크레시티,690,121.93,15,2014,90000,738.1284343475764,628
32142,1,11230,전농동,2018-01-20,래미안아름숲,688,84.91,2,2012,59100,696.0310917441998,628
32179,1,11230,제기동,2018-01-16,한신아파트,1212,59.84,13,2004,40300,673.4625668449197,628
32180,1,11230,제기동,2018-01-18,한신아파트,1212,84.76,8,2004,50000,589.9008966493628,628
32201,1,11230,청량리동,2018-01-15,미주,235-1,152.2,3,1978,78000,512.4835742444153,628
32202,1,11230,청량리동,2018-01-16,홍릉동부,212,84.91,6,2001,46500,547.6386762454364,628
32203,1,11230,청량리동,2018-01-16,한신,60,84.92,5,1997,40000,471.03155911446066,628
32204,1,11230,청량리동,2018-01-17,한신,60,114.95,15,1997,55000,478.4688995215311,628
32205,1,11230,청량리동,2018-01-17,한신,60,114.95,4,1997,52900,460.2000869943454,628
