,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
9114,1,11590,노량진동,2009-12-21,신동아리버파크,325,114.75,1,2001,61500,535.9477124183006,207
9115,1,11590,노량진동,2009-12-22,우성,323,59.82,10,1997,33500,560.0133734536944,207
9128,1,11590,대방동,2009-12-23,대방1차e-편한세상,508,84.32,8,2003,56500,670.0664136622391,207
9129,1,11590,대방동,2009-12-26,대림아파트,501,84.92,2,1993,55000,647.6683937823834,207
9138,1,11590,동작동,2009-12-25,금강KCC,331,84.95,14,2003,53100,625.0735726898175,207
9144,1,11590,본동,2009-12-21,유원강변,482,84.63,6,2000,51500,608.531253692544,207
9145,1,11590,본동,2009-12-23,경동윈츠리버,484,56.68,4,2004,34300,605.15172900494,207
9170,1,11590,사당동,2009-12-20,삼성월드,1016-42,63.02,1,2003,22000,349.0955252300857,207
9171,1,11590,사당동,2009-12-20,사당자이,1139,60.0,6,1999,34500,575.0,207
9172,1,11590,사당동,2009-12-21,사당휴먼시아,1154,59.96,1,2009,33050,551.2008005336891,207
9173,1,11590,사당동,2009-12-22,사당휴먼시아,1154,59.96,1,2009,33050,551.2008005336891,207
9174,1,11590,사당동,2009-12-22,사당휴먼시아,1154,59.96,1,2009,33050,551.2008005336891,207
9175,1,11590,사당동,2009-12-23,사당우성3,105,59.89,3,1993,36000,601.1020203706796,207
9176,1,11590,사당동,2009-12-23,현대주택조합,산25-2,84.99,4,1993,40000,470.6436051300153,207
9177,1,11590,사당동,2009-12-23,삼익그린뷰,1150,59.1605,16,2003,31000,523.9982758766407,207
9178,1,11590,사당동,2009-12-24,현대,169-32,51.66,2,1991,21800,421.98993418505614,207
9179,1,11590,사당동,2009-12-26,사당우성3,105,46.75,8,1993,40900,874.8663101604278,207
9202,1,11590,상도동,2009-12-20,래미안상도3차,431,59.97,11,2004,47500,792.0626980156745,207
9203,1,11590,상도동,2009-12-21,경향렉스빌,445,84.5802,7,2002,39500,467.0123740544477,207
9204,1,11590,상도동,2009-12-21,상도동래미안1차,450,59.828,9,2004,41000,685.2978538476967,207
9205,1,11590,상도동,2009-12-22,삼성래미안2,421,59.886,2,2003,37100,619.5104030992218,207
9206,1,11590,상도동,2009-12-22,래미안상도3차,431,84.96,12,2004,65500,770.9510357815443,207
9207,1,11590,상도동,2009-12-23,포스코더샵,521,84.995,5,2007,55000,647.0968880522383,207
9216,1,11590,신대방동,2009-12-23,우성1,565,126.16,3,1988,64000,507.29232720355105,207
9217,1,11590,신대방동,2009-12-24,현대,707,84.57,7,1996,44250,523.2351897836113,207
9218,1,11590,신대방동,2009-12-26,현대,707,84.57,20,1996,39000,461.1564384533523,207
9219,1,11590,신대방동,2009-12-26,롯데낙천대,713,55.4561,5,2003,36450,657.276656670772,207
9228,1,11590,흑석동,2009-12-23,우리유앤미,329,83.5859,7,2003,41000,490.5133521323573,207
9229,1,11590,흑석동,2009-12-23,흑석동양아파트,328,84.991,5,2003,42400,498.87635161370025,207
