,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
32203,1,11440,공덕동,2017-10-29,공덕1삼성래미안,371,114.88,21,1999,89750,781.25,617
32204,1,11440,공덕동,2017-10-30,래미안공덕5차,469,59.959,9,2011,71000,1184.142497373205,617
32205,1,11440,공덕동,2017-10-31,공덕3삼성래미안,457,84.98,18,2004,90000,1059.0727229936456,617
32217,1,11440,대흥동,2017-10-30,마포태영,660,114.93,11,1999,81500,709.1272948751414,617
32241,1,11440,도화동,2017-10-30,도화동현대,357,128.26,6,1996,71000,553.5630750038983,617
32242,1,11440,도화동,2017-10-30,도화동현대,357,112.09,11,1996,65000,579.8911588901775,617
32243,1,11440,도화동,2017-10-31,현대홈타운,353,84.95,12,2000,62800,739.2583872866392,617
32282,1,11440,상암동,2017-10-30,상암월드컵파크4단지,1655,84.81,13,2006,73800,870.1804032543332,617
32283,1,11440,상암동,2017-10-30,상암월드컵파크6단지,1689,84.53,8,2005,73250,866.5562522181474,617
32287,1,11440,서교동,2017-10-30,대운,380-44,72.05,5,2003,46500,645.3851492019431,617
32313,1,11440,성산동,2017-10-31,성산시영(선경),446,50.54,13,1986,50000,989.3153937475267,617
32314,1,11440,성산동,2017-10-31,성산시영(선경),446,50.54,7,1986,49500,979.4222398100515,617
32354,1,11440,아현동,2017-10-30,마포래미안푸르지오2단지,777,114.7267,17,2014,118500,1032.8894668808568,617
32355,1,11440,아현동,2017-10-30,마포래미안푸르지오3단지,777,84.8919,15,2014,95000,1119.070252874538,617
32356,1,11440,아현동,2017-10-30,마포래미안푸르지오2단지,777,59.9656,9,2014,82000,1367.4506717184518,617
32369,1,11440,염리동,2017-10-30,상록,515-1,49.02,15,1997,38000,775.1937984496124,617
32376,1,11440,용강동,2017-10-30,e편한세상마포리버파크,508,84.98,18,2016,110000,1294.4222169922334,617
32400,1,11440,창전동,2017-10-29,서강예가,444,59.983,7,2007,68500,1141.990230565327,617
32401,1,11440,창전동,2017-10-31,창전 쌍용스윗닷홈,441,84.98299999999998,8,2005,63500,747.2082651824485,617
32407,1,11440,합정동,2017-10-31,마포 한강 푸르지오,472,119.99,28,2015,149500,1245.9371614301192,617
32409,1,11440,현석동,2017-10-31,래미안 웰스트림,225,59.96,18,2016,83200,1387.5917278185457,617
32410,1,11440,공덕동,2017-11-02,효창그린빌라트,11-168,163.57,1,1996,57250,350.0030567952559,617
32411,1,11440,공덕동,2017-11-04,래미안공덕5차,469,59.959,8,2011,74900,1249.1869444120148,617
32412,1,11440,공덕동,2017-11-04,래미안공덕5차,469,59.959,5,2011,76000,1267.532814089628,617
32413,1,11440,공덕동,2017-11-04,래미안공덕5차,469,84.87100000000002,12,2011,90000,1060.4328922718005,617
32435,1,11440,노고산동,2017-11-04,신촌포스빌,1-3,32.34,10,2004,29800,921.4594928880642,617
32436,1,11440,노고산동,2017-11-04,신촌포스빌,1-3,32.34,6,2004,28000,865.8008658008657,617
32438,1,11440,대흥동,2017-11-01,마포자이2차,804,84.44,9,2014,92900,1100.1894836570345,617
32439,1,11440,대흥동,2017-11-04,마포태영,660,84.77,21,1999,73250,864.1028665801581,617
32453,1,11440,도화동,2017-11-01,우성,82,68.94,6,1991,52250,757.9054250072527,617
32454,1,11440,도화동,2017-11-02,마포동원베네스트,564,58.65,9,2010,59500,1014.4927536231884,617
32455,1,11440,도화동,2017-11-03,마포동원베네스트,564,83.33,9,2010,74000,888.0355214208569,617
32456,1,11440,도화동,2017-11-03,현대홈타운,353,84.95,17,2000,62000,729.8410829899941,617
32457,1,11440,도화동,2017-11-04,한화오벨리스크,555,39.91,11,2004,36000,902.0295665246806,617
32458,1,11440,도화동,2017-11-04,마포동원베네스트,564,58.65,8,2010,59600,1016.1977834612106,617
32459,1,11440,도화동,2017-11-04,도화현대,547,59.4,8,1998,47800,804.7138047138047,617
32497,1,11440,망원동,2017-11-01,현대그린,464-5,80.88,7,2003,38000,469.83184965380815,617
32510,1,11440,상수동,2017-11-04,래미안밤섬리베뉴 Ⅰ,402,84.99,10,2014,94700,1114.2487351453112,617
32515,1,11440,상암동,2017-11-01,상암월드컵파크4단지,1655,104.78,26,2006,91000,868.4863523573201,617
32516,1,11440,상암동,2017-11-02,휴먼시아1단지,1630,113.91,10,2009,106000,930.5592134140988,617
32517,1,11440,상암동,2017-11-03,상암월드컵파크4단지,1655,84.89,24,2006,74800,881.1402992107434,617
32541,1,11440,서교동,2017-11-02,대우미래사랑,487,34.29,8,2005,25000,729.0755322251385,617
32542,1,11440,서교동,2017-11-03,대운,380-44,66.29,7,2003,35500,535.5257203198069,617
32543,1,11440,서교동,2017-11-03,삼익플라주서교1,488,82.72,8,2007,54000,652.8046421663443,617
32544,1,11440,서교동,2017-11-03,대우미래사랑,487,33.8,12,2005,25300,748.5207100591716,617
32548,1,11440,성산동,2017-11-01,성산시영(대우),446,50.03,9,1986,48000,959.4243453927643,617
32549,1,11440,성산동,2017-11-01,성산월드타운대림,601,59.88800000000001,8,2004,48200,804.8356932941489,617
32550,1,11440,성산동,2017-11-02,성산2차e-편한세상,604,59.78,6,2005,48000,802.9441284710606,617
32551,1,11440,성산동,2017-11-03,성산시영(유원),446,59.43,1,1986,58500,984.3513377082281,617
32552,1,11440,성산동,2017-11-03,성산시영(유원),446,59.43,1,1986,57300,964.1595153962645,617
32553,1,11440,성산동,2017-11-04,성산시영(유원),446,59.43,8,1986,60000,1009.5911155981828,617
32554,1,11440,성산동,2017-11-04,성산월드타운대림,601,59.88800000000001,11,2004,48000,801.496126102057,617
32617,1,11440,신수동,2017-11-03,신촌삼익,450,84.85,1,1997,56000,659.9882144961698,617
32624,1,11440,신정동,2017-11-04,서강GS,30,59.98,19,1999,55500,925.3084361453818,617
32629,1,11440,아현동,2017-11-01,마포래미안푸르지오2단지,777,114.588,16,2014,122000,1064.683911055259,617
32630,1,11440,아현동,2017-11-02,마포래미안푸르지오2단지,777,114.2802,13,2014,124000,1085.0523537760698,617
32631,1,11440,아현동,2017-11-02,예미원,371-1,84.88,3,1970,55100,649.1517436380773,617
32632,1,11440,아현동,2017-11-03,마포래미안푸르지오2단지,777,84.5978,2,2014,90000,1063.8574525578679,617
32633,1,11440,아현동,2017-11-03,마포래미안푸르지오3단지,777,114.7267,6,2014,117800,1026.7880101144722,617
32634,1,11440,아현동,2017-11-04,마포래미안푸르지오4단지,777,59.9656,23,2014,82800,1380.7916538815587,617
32635,1,11440,아현동,2017-11-04,마포래미안푸르지오2단지,777,84.5978,8,2014,95000,1122.9606443666382,617
32657,1,11440,연남동,2017-11-02,코오롱,573,84.936,11,2003,65000,765.2820947536968,617
32659,1,11440,염리동,2017-11-01,염리삼성래미안,520,59.52,6,2001,59000,991.263440860215,617
32660,1,11440,염리동,2017-11-04,중앙하이츠,161-1,83.82,13,1998,59900,714.6265807683131,617
32661,1,11440,염리동,2017-11-04,마포자이,521,135.376,1,2003,95000,701.7492022219595,617
32673,1,11440,용강동,2017-11-02,래미안마포리버웰,502,84.99,17,2015,106000,1247.2055535945406,617
32674,1,11440,용강동,2017-11-04,e편한세상마포리버파크,508,59.98,7,2016,84800,1413.8046015338448,617
32691,1,11440,중동,2017-11-02,마포중동현대,392,59.88,10,2001,44500,743.1529726118904,617
32692,1,11440,중동,2017-11-03,울트라월드컵(참누리),398,84.9406,24,2006,63000,741.6947843551847,617
32693,1,11440,중동,2017-11-04,마포중동현대,392,84.9,3,2001,53500,630.153121319199,617
32726,1,11440,토정동,2017-11-03,한강삼성,138,59.76,18,1997,60000,1004.0160642570281,617
32728,1,11440,하중동,2017-11-01,한강밤섬자이,101,118.28,23,2010,115000,972.2691917483936,617
32729,1,11440,하중동,2017-11-02,한강밤섬자이,101,118.28,11,2010,113700,961.2783226242814,617
32742,1,11440,현석동,2017-11-01,반도유보라아일랜드,223,122.6843,6,2008,130500,1063.7057879451568,617
