,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
14422,1,11410,남가좌동,2014-05-19,남가좌삼성,377,114.93,4,2000,45100,392.4127729922561,437
14423,1,11410,남가좌동,2014-05-21,남가좌동현대,376,114.9,20,1999,39700,345.5178416013925,437
14424,1,11410,남가좌동,2014-05-23,명지플러스빌(A),335-7,82.11,5,2004,27000,328.8271830471319,437
14432,1,11410,냉천동,2014-05-21,동부센트레빌,260,114.92,4,2002,47000,408.98016011138185,437
14442,1,11410,북가좌동,2014-05-18,DMC한양,431,65.34,10,1987,24800,379.5531068258341,437
14443,1,11410,북가좌동,2014-05-22,DMC현대아파트,453,84.95,2,2000,28800,339.02295467922306,437
14444,1,11410,북가좌동,2014-05-23,북가좌동이랜드해가든,460,84.91,4,2007,38300,451.0658344129078,437
14445,1,11410,북가좌동,2014-05-23,북가좌삼호,449,84.57,8,1996,34750,410.9022111859998,437
14446,1,11410,북가좌동,2014-05-24,DMC래미안e편한세상,481,84.95,13,2012,55700,655.679811653914,437
14453,1,11410,북아현동,2014-05-24,두산,1009,59.96,15,1999,31700,528.685790527018,437
14459,1,11410,연희동,2014-05-20,홍연,729,54.35,2,1981,18100,333.0266789328427,437
14464,1,11410,영천동,2014-05-23,독립문삼호,100,84.78,14,1995,41500,489.50224109459776,437
14468,1,11410,창천동,2014-05-22,삼성아트빌,501-14,44.48,3,2002,20130,452.5629496402878,437
14469,1,11410,창천동,2014-05-22,삼성아트빌,501-14,24.5,1,2002,10210,416.734693877551,437
14470,1,11410,창천동,2014-05-22,삼성아트빌,501-14,51.76,2,2002,20620,398.3771251931994,437
14475,1,11410,천연동,2014-05-20,천연뜨란채,145,55.82,5,2006,34500,618.0580437119312,437
14476,1,11410,천연동,2014-05-22,천연뜨란채,145,57.78,11,2006,35700,617.8608515057113,437
14477,1,11410,천연동,2014-05-23,천연뜨란채,145,56.02,6,2006,31800,567.654409139593,437
14482,1,11410,충정로3가,2014-05-21,충정솔레디움(101동),30-17,82.37,7,2005,36900,447.9786329974505,437
14485,1,11410,합동,2014-05-22,사랑채,31-9,75.95,1,2003,25000,329.1639236339697,437
14493,1,11410,현저동,2014-05-20,독립문파크빌,1019,59.4,9,2000,25700,432.6599326599327,437
14494,1,11410,현저동,2014-05-21,독립문극동(200-0),200,102.45,23,1998,54250,529.526598340654,437
14495,1,11410,현저동,2014-05-21,독립문극동(200-0),200,59.58,16,1998,39000,654.5820745216516,437
14496,1,11410,현저동,2014-05-24,독립문극동(200-0),200,102.45,11,1998,55400,540.7515861395802,437
14517,1,11410,홍은동,2014-05-18,홍은동벽산,455,84.78,14,1997,34000,401.03798065581503,437
14518,1,11410,홍은동,2014-05-21,유원,22,54.54,9,1987,18000,330.03300330033005,437
14519,1,11410,홍은동,2014-05-22,두산,456,84.84,11,1997,31400,370.10843941537007,437
14520,1,11410,홍은동,2014-05-22,홍은동벽산,455,58.64,15,1997,21500,366.64392905866305,437
14541,1,11410,홍제동,2014-05-18,문화촌현대,463,84.99,20,2002,32700,384.7511471937875,437
14542,1,11410,홍제동,2014-05-18,홍제원현대(459-0),459,59.93,6,2000,31500,525.6132154179877,437
14543,1,11410,홍제동,2014-05-18,문화촌현대,463,59.94,16,2002,26300,438.77210543877214,437
14544,1,11410,홍제동,2014-05-19,문화촌현대,463,84.99,18,2002,34700,408.2833274502883,437
14545,1,11410,홍제동,2014-05-20,홍제원현대(459-0),459,59.93,10,2000,30800,513.9329217420324,437
14546,1,11410,홍제동,2014-05-21,홍제삼성래미안,461,32.76,11,2001,20500,625.7631257631258,437
14547,1,11410,홍제동,2014-05-21,인왕산현대,460,59.93,9,2000,30300,505.5898548306358,437
14548,1,11410,홍제동,2014-05-22,태영으뜸(데시앙),373,52.77,10,1998,22400,424.4836081106689,437
14549,1,11410,홍제동,2014-05-22,홍제원현대(459-0),459,59.93,12,2000,30300,505.5898548306358,437
14550,1,11410,홍제동,2014-05-22,청구3차,462,84.96,4,2001,35500,417.8436911487759,437
14551,1,11410,홍제동,2014-05-22,청구2차,453-1,59.89,15,1997,31000,517.6156286525296,437
14552,1,11410,홍제동,2014-05-23,홍제삼성래미안,461,60.0,3,2001,30000,500.0,437
14553,1,11410,홍제동,2014-05-23,인왕산현대,460,59.93,3,2000,31400,523.9446020357084,437
