,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
597,1,11650,반포동,2006-02-26,반포(주공2),14-1,57.36,1,1980,137000,2388.423988842399,8
598,1,11650,반포동,2006-02-26,삼호가든맨션(3차),32-8,136.73,4,1982,105000,767.9368097710817,8
599,1,11650,반포동,2006-02-27,반포(주공2),14-1,57.36,1,1980,137000,2388.423988842399,8
600,1,11650,반포동,2006-02-27,반포TS프리우스,71-3,134.63,4,2005,58000,430.8103691599198,8
601,1,11650,반포동,2006-02-27,신구노빌리티,84-2,243.37,4,2003,130000,534.1660845626002,8
602,1,11650,반포동,2006-02-27,반포(주공3),20-1,80.23,1,1980,125000,1558.02069051477,8
603,1,11650,반포동,2006-02-27,한신서래,70-1,64.53,2,1987,44000,681.8534015186734,8
604,1,11650,반포동,2006-02-27,한신서래,70-1,137.47,11,1987,98500,716.5199679930166,8
605,1,11650,반포동,2006-02-27,태림리츠빌,3-3,107.01,2,2002,64500,602.7474067844126,8
606,1,11650,반포동,2006-02-28,에이아이디차관주택,968,72.51,1,1974,71000,979.1752861674252,8
607,1,11650,반포동,2006-02-28,한신서래,70-1,115.0,11,1987,79500,691.304347826087,8
717,1,11650,방배동,2006-02-26,방배임광,1010-1,65.85,5,1988,39200,595.292331055429,8
718,1,11650,방배동,2006-02-26,삼호2,758-4,131.41,2,1976,76500,582.1474773609315,8
719,1,11650,방배동,2006-02-26,방배2차현대홈타운,2001,59.86,11,2001,45800,765.1186100902105,8
720,1,11650,방배동,2006-02-26,방배1차현대홈타운,1344,59.94,8,1999,40000,667.3340006673341,8
721,1,11650,방배동,2006-02-26,신동아,988-1,105.86,12,1981,74900,707.5382580767051,8
722,1,11650,방배동,2006-02-26,방배2차현대홈타운,2001,84.94,2,2001,64000,753.4730397927949,8
723,1,11650,방배동,2006-02-27,방배동동양파라곤,992-8,198.42,4,2004,111500,561.9393206330008,8
724,1,11650,방배동,2006-02-27,베로니스3차,807-11,173.25,5,2005,120000,692.6406926406927,8
725,1,11650,방배동,2006-02-27,방배노블힐스,593-45,121.62,3,2003,45000,370.00493339911196,8
726,1,11650,방배동,2006-02-27,방배2차e-편한세상,881-26,164.16,7,2004,126000,767.5438596491229,8
727,1,11650,방배동,2006-02-27,엘르빌,985-15,141.83,3,2003,61000,430.0923640978636,8
728,1,11650,방배동,2006-02-28,금강프리빌,940-8,95.43,3,2001,54500,571.0992350413916,8
729,1,11650,방배동,2006-02-28,삼호 1동~3동,770-1,81.39,12,1975,45950,564.5656714584101,8
730,1,11650,방배동,2006-02-28,삼익,1018-1,151.54,12,1981,103000,679.6885310809027,8
869,1,11650,서초동,2006-02-26,삼풍아파트,1685,79.47,15,1988,79500,1000.3775009437524,8
870,1,11650,서초동,2006-02-26,삼풍아파트,1685,79.47,5,1988,80500,1012.9608657354977,8
871,1,11650,서초동,2006-02-27,마샹스(2차),1487-144,79.63,6,2003,29000,364.184352630918,8
872,1,11650,서초동,2006-02-27,우성1,1336,147.84,8,1979,119000,804.9242424242424,8
873,1,11650,서초동,2006-02-27,서초래미안,1682,111.32,24,2003,134500,1208.2285303629178,8
874,1,11650,서초동,2006-02-27,서초현대,1648-2,54.45,9,1999,32700,600.5509641873277,8
875,1,11650,서초동,2006-02-27,유원서초,1687,84.82,16,1993,63000,742.7493515680264,8
876,1,11650,서초동,2006-02-27,유원서초,1687,84.82,4,1993,70000,825.2770572978072,8
877,1,11650,서초동,2006-02-27,금호,1686-4,96.83,11,1980,73000,753.8985851492306,8
878,1,11650,서초동,2006-02-27,삼풍아파트,1685,79.47,4,1988,82500,1038.1275953189884,8
879,1,11650,서초동,2006-02-27,삼풍아파트,1685,163.81,14,1988,180000,1098.834015017398,8
880,1,11650,서초동,2006-02-27,우성아파트,1326-17,76.67,6,1998,64000,834.7463153775923,8
881,1,11650,서초동,2006-02-27,현대아파트,1346,62.05,8,1989,40500,652.699435938759,8
882,1,11650,서초동,2006-02-27,우성3,1332,100.61,1,1980,75000,745.452738296392,8
883,1,11650,서초동,2006-02-27,서초3차e편한세상,1467-37,158.24,6,2005,140000,884.732052578362,8
884,1,11650,서초동,2006-02-27,금호,1686-4,96.83,11,1980,110000,1136.0115666632241,8
885,1,11650,서초동,2006-02-27,서초한빛삼성,1509-1,59.52,7,1999,40200,675.4032258064516,8
886,1,11650,서초동,2006-02-28,무지개,1335,139.78,2,1978,109000,779.7968235799112,8
887,1,11650,서초동,2006-02-28,삼풍아파트,1685,163.81,11,1988,182000,1111.0432818509248,8
888,1,11650,서초동,2006-02-28,무지개,1335,77.71,9,1978,54800,705.1859477544718,8
889,1,11650,서초동,2006-02-28,삼풍아파트,1685,163.81,12,1988,140000,854.6486783468653,8
890,1,11650,서초동,2006-02-28,삼호1차,1310,104.01,5,1979,71500,687.4339005864821,8
891,1,11650,서초동,2006-02-28,서초래미안,1682,111.32,9,2003,123500,1109.4143011139058,8
892,1,11650,서초동,2006-02-28,현대슈퍼빌,1446-11,185.02,22,2003,228000,1232.2992108961193,8
893,1,11650,서초동,2006-02-28,서초삼성래미안,1641-1,84.97,12,2001,74000,870.8956102153702,8
915,1,11650,양재동,2006-02-27,파크뷰,389-2,69.95,3,2002,26500,378.84203002144386,8
916,1,11650,양재동,2006-02-28,포레스빌,119-3,84.38,7,2002,31500,373.3112111874852,8
917,1,11650,양재동,2006-02-28,우성,154-2,84.58,13,1991,57750,682.7855284937338,8
