,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
23958,1,11200,금호동2가,2016-02-18,금호자이1차,1215,84.97,16,2012,64700,761.4452159585736,528
23959,1,11200,금호동2가,2016-02-19,래미안하이리버,1217,59.99,4,2012,56800,946.8244707451241,528
23960,1,11200,금호동2가,2016-02-20,래미안하이리버,1217,114.32,17,2012,94500,826.6270118964311,528
23962,1,11200,금호동3가,2016-02-15,두산,1331,59.97,3,1994,39500,658.6626646656662,528
23963,1,11200,금호동3가,2016-02-17,금호한신,1662,84.49,9,2005,55500,656.8824712983785,528
23964,1,11200,금호동3가,2016-02-19,금호한신,1662,84.96,7,2005,49000,576.7419962335217,528
23975,1,11200,금호동4가,2016-02-14,대우,800,59.97,2,2001,44000,733.7001834250459,528
23976,1,11200,금호동4가,2016-02-14,브라운스톤금호,1507,84.838,3,2007,60000,707.2302505952522,528
23977,1,11200,금호동4가,2016-02-15,롯데,1250,84.99,19,2003,51000,600.0705965407695,528
23978,1,11200,금호동4가,2016-02-16,대우,800,114.71,20,2001,79250,690.8726353412954,528
23979,1,11200,금호동4가,2016-02-17,서울숲푸르지오2차,235,84.898,11,2012,76500,901.0812975570685,528
23980,1,11200,금호동4가,2016-02-17,대우,800,84.71,12,2001,56000,661.0789753275883,528
23981,1,11200,금호동4가,2016-02-18,서울숲푸르지오2차,235,59.862,9,2012,60000,1002.3053021950486,528
23992,1,11200,마장동,2016-02-17,현대,818,84.91,2,1998,42000,494.641384995878,528
23993,1,11200,마장동,2016-02-18,삼성,817,59.76,6,1996,37800,632.5301204819277,528
23994,1,11200,마장동,2016-02-18,마장동중앙하이츠,819,60.0,7,1999,37400,623.3333333333334,528
23995,1,11200,마장동,2016-02-19,현대,818,84.91,17,1998,44500,524.084324578966,528
23996,1,11200,마장동,2016-02-19,대성유니드,825,59.7,9,2004,40000,670.0167504187605,528
23997,1,11200,마장동,2016-02-20,현대,818,84.91,26,1998,44500,524.084324578966,528
24008,1,11200,사근동,2016-02-20,중앙하이츠,199,71.85,9,1989,30500,424.49547668754354,528
24014,1,11200,성수동1가,2016-02-16,현대,676-5,84.73,11,1990,55000,649.1207364569809,528
24015,1,11200,성수동1가,2016-02-17,현대그린,33-2,81.48,9,1994,45500,558.4192439862543,528
24016,1,11200,성수동1가,2016-02-17,쌍용,706,59.76,11,1997,45400,759.7054886211513,528
24017,1,11200,성수동1가,2016-02-18,동아그린,708,58.32,13,1999,38400,658.4362139917696,528
24018,1,11200,성수동1가,2016-02-19,쌍용,706,84.78,12,1997,52000,613.3522057088936,528
24019,1,11200,성수동1가,2016-02-19,쌍용,706,59.76,9,1997,44600,746.3186077643909,528
24030,1,11200,성수동2가,2016-02-15,서울숲 금강아미움,836,80.89,2,2004,40000,494.4987019409074,528
24031,1,11200,성수동2가,2016-02-18,롯데캐슬파크,835,81.567,2,2003,58000,711.0718795591355,528
24032,1,11200,성수동2가,2016-02-20,E-아름다운세상,846,83.35,6,2014,47850,574.0851829634073,528
24033,1,11200,성수동2가,2016-02-20,현대I-PARK,834,84.98,16,2003,58500,688.3972699458695,528
