,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11200,금호동1가,2006-01-03,벽산,633,59.9,19,2001,22250
1,11200,금호동1가,2006-01-05,벽산,633,84.82,6,2001,34800
2,11200,금호동1가,2006-01-05,벽산,633,84.82,20,2001,44500
3,11200,금호동1가,2006-01-07,벽산,633,59.9,17,2001,20500
4,11200,금호동1가,2006-01-09,금호삼성래미안,1500,59.95,7,2001,29000
5,11200,금호동1가,2006-01-13,금호삼성래미안,1500,59.95,15,2001,32000
6,11200,금호동1가,2006-01-13,벽산,633,114.57,7,2001,49500
7,11200,금호동1가,2006-01-14,금호삼성래미안,1500,84.45,12,2001,43500
8,11200,금호동1가,2006-01-17,벽산,633,84.82,4,2001,30500
9,11200,금호동1가,2006-01-18,금호삼성래미안,1500,59.95,4,2001,28250
10,11200,금호동1가,2006-01-19,벽산,633,84.82,13,2001,41050
11,11200,금호동1가,2006-01-21,벽산,633,59.9,15,2001,22000
12,11200,금호동1가,2006-01-21,금호삼성래미안,1500,84.45,12,2001,41900
13,11200,금호동1가,2006-01-21,벽산,633,114.57,20,2001,40000
14,11200,금호동1가,2006-01-23,금호삼성래미안,1500,59.95,3,2001,28000
15,11200,금호동1가,2006-01-24,벽산,633,114.57,15,2001,41500
16,11200,금호동1가,2006-01-24,벽산,633,59.9,15,2001,22300
17,11200,금호동1가,2006-01-24,벽산,633,114.57,8,2001,39700
18,11200,금호동1가,2006-01-25,금호삼성래미안,1500,59.95,8,2001,30000
19,11200,금호동1가,2006-01-25,금호삼성래미안,1500,114.67,5,2001,54750
20,11200,금호동1가,2006-01-26,벽산,633,59.9,10,2001,21800
21,11200,금호동1가,2006-01-27,벽산,633,59.9,18,2001,22000
22,11200,금호동1가,2006-01-27,벽산,633,84.82,6,2001,36800
23,11200,금호동1가,2006-01-31,벽산,633,59.9,12,2001,21000
24,11200,금호동3가,2006-01-07,두산,1331,59.97,8,1994,21400
25,11200,금호동3가,2006-01-11,두산,1331,59.97,4,1994,20700
26,11200,금호동3가,2006-01-13,두산,1331,79.08,4,1994,25000
27,11200,금호동3가,2006-01-16,두산,1331,59.97,10,1994,21000
28,11200,금호동3가,2006-01-17,두산,1331,84.99,14,1994,30000
29,11200,금호동3가,2006-01-17,두산,1331,116.81,14,1994,40000
30,11200,금호동3가,2006-01-18,두산,1331,116.81,8,1994,41000
31,11200,금호동3가,2006-01-21,두산,1331,124.19,7,1994,50000
32,11200,금호동3가,2006-01-23,두산,1331,84.99,5,1994,27800
33,11200,금호동3가,2006-01-23,두산,1331,59.97,4,1994,22000
34,11200,금호동3가,2006-01-25,두산,1331,116.81,2,1994,38000
35,11200,금호동3가,2006-01-30,두산,1331,59.97,7,1994,22500
36,11200,금호동4가,2006-01-07,롯데,1250,84.99,7,2003,38500
37,11200,금호동4가,2006-01-07,롯데,1250,84.99,13,2003,37500
38,11200,금호동4가,2006-01-09,대우,800,114.71,1,2001,51000
39,11200,금호동4가,2006-01-10,대우,800,59.97,22,2001,26600
40,11200,금호동4가,2006-01-16,대우,800,59.97,24,2001,25700
41,11200,금호동4가,2006-01-18,대우,800,84.71,8,2001,39165
42,11200,금호동4가,2006-01-26,대우,800,84.96,23,2001,55000
43,11200,금호동4가,2006-01-26,롯데,1250,84.99,2,2003,34500
44,11200,금호동4가,2006-01-27,대우,800,84.71,4,2001,42300
45,11200,금호동4가,2006-01-31,대우,800,59.97,4,2001,26800
46,11200,마장동,2006-01-02,세림,784,40.86,10,1986,15400
47,11200,마장동,2006-01-03,세림,784,40.86,1,1986,13700
48,11200,마장동,2006-01-10,삼성,817,59.76,12,1996,23450
49,11200,마장동,2006-01-11,세림,784,84.93,2,1986,28900
50,11200,마장동,2006-01-17,삼성,817,59.76,13,1996,23000
51,11200,마장동,2006-01-17,현대,818,59.91,19,1998,21500
52,11200,마장동,2006-01-18,삼성,817,59.76,1,1996,20500
53,11200,마장동,2006-01-21,현대,818,59.94,20,1998,20900
54,11200,마장동,2006-01-23,세림,784,40.86,2,1986,15200
55,11200,마장동,2006-01-24,신명스카이뷰,830,84.038,6,2005,33200
56,11200,사근동,2006-01-24,드림시드,198-1,84.97,2,2001,27000
57,11200,성수동1가,2006-01-10,LIG건영,710,84.941,13,2002,58000
58,11200,성수동1가,2006-01-13,동아,656-320,96.18,10,1983,54000
59,11200,성수동1가,2006-01-16,현대,676-5,84.73,5,1990,42200
60,11200,성수동1가,2006-01-21,강변동양,479-1,84.95,15,2001,51500
61,11200,성수동1가,2006-01-21,동아,656-320,52.68,2,1983,38500
