,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
4659,1,11710,가락동,2006-10-09,우성,96-1,127.75,12,1986,87500,684.931506849315,40
4660,1,11710,가락동,2006-10-09,가락금호아파트,95-1,85.0,16,1997,60000,705.8823529411765,40
4661,1,11710,가락동,2006-10-09,두산위브,98,40.5,12,2004,16000,395.0617283950617,40
4662,1,11710,가락동,2006-10-09,가락(1차)쌍용아파트,140,84.69,24,1997,61500,726.1778250088558,40
4663,1,11710,가락동,2006-10-09,극동,192,120.4,7,1984,94300,783.2225913621262,40
4664,1,11710,가락동,2006-10-10,시영1,479,40.09,2,1980,51000,1272.1376901970566,40
4665,1,11710,가락동,2006-10-10,시영1,479,40.09,5,1980,50250,1253.4297829882762,40
4666,1,11710,가락동,2006-10-10,시영1,479,40.09,5,1980,50250,1253.4297829882762,40
4667,1,11710,가락동,2006-10-10,시영2,479,39.64,2,1982,56000,1412.7144298688193,40
4668,1,11710,가락동,2006-10-10,가락금호아파트,95-1,59.91,22,1997,41000,684.3598731430479,40
4669,1,11710,가락동,2006-10-10,시영2,479,39.64,2,1982,56000,1412.7144298688193,40
4670,1,11710,가락동,2006-10-11,시영1,479,40.09,1,1980,51000,1272.1376901970566,40
4671,1,11710,가락동,2006-10-11,시영1,479,45.12,3,1980,60000,1329.7872340425533,40
4672,1,11710,가락동,2006-10-11,시영2,479,39.64,4,1982,57800,1458.1231079717456,40
4673,1,11710,가락동,2006-10-11,시영2,479,39.64,4,1982,57800,1458.1231079717456,40
4674,1,11710,가락동,2006-10-11,시영1,479,51.4,4,1980,66000,1284.046692607004,40
4675,1,11710,가락동,2006-10-11,시영1,479,45.12,3,1980,60000,1329.7872340425533,40
4676,1,11710,가락동,2006-10-11,가락(1차)쌍용아파트,140,84.69,1,1997,55400,654.1504309835872,40
4677,1,11710,가락동,2006-10-11,시영1,479,51.4,4,1980,66000,1284.046692607004,40
4678,1,11710,가락동,2006-10-11,가락금호아파트,95-1,59.91,9,1997,40750,680.1869470872977,40
4679,1,11710,가락동,2006-10-11,풍림1,142,80.52,4,1995,35000,434.6746150024839,40
4680,1,11710,가락동,2006-10-11,가락(1차)쌍용아파트,140,59.92,8,1997,43700,729.305740987984,40
4681,1,11710,가락동,2006-10-11,가락금호아파트,95-1,85.0,9,1997,66000,776.4705882352941,40
4682,1,11710,가락동,2006-10-11,시영1,479,40.09,1,1980,51000,1272.1376901970566,40
4683,1,11710,가락동,2006-10-11,가락우성2,120-4,59.97,11,2000,34800,580.2901450725362,40
4684,1,11710,가락동,2006-10-12,풍림1,142,59.94,4,1995,23700,395.3953953953954,40
4685,1,11710,가락동,2006-10-12,시영2,479,44.6,2,1982,58000,1300.4484304932735,40
4686,1,11710,가락동,2006-10-12,시영1,479,45.12,5,1980,58500,1296.5425531914893,40
4687,1,11710,가락동,2006-10-12,가락우성2,120-4,59.97,6,2000,31900,531.9326329831582,40
4688,1,11710,가락동,2006-10-12,가락(1차)쌍용아파트,140,84.69,9,1997,63000,743.8894792773646,40
4689,1,11710,가락동,2006-10-12,가락우성2,120-4,59.97,10,2000,32600,543.605135901284,40
4690,1,11710,가락동,2006-10-12,가락금호아파트,95-1,59.91,22,1997,41500,692.7057252545485,40
