,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
20391,1,11170,도원동,2020-02-08,삼성래미안,23,84.69,20,2001,112500,1328.374070138151,735
20397,1,11170,동자동,2020-02-02,동자,19-8,27.34,1,1969,45900,1678.8588149231896,735
20400,1,11170,문배동,2020-02-08,용산KCC웰츠타워,11-10,84.68,21,2015,120000,1417.0996693434104,735
20413,1,11170,용산동5가,2020-02-04,용산파크타워(24-0),24,154.47,25,2009,266000,1722.0172201722016,735
20418,1,11170,원효로4가,2020-02-04,산호,118-16,103.67,10,1977,120000,1157.5190508343783,735
20425,1,11170,이촌동,2020-02-07,현대맨숀,301-162,100.4,1,1975,124999,1245.0099601593624,735
20426,1,11170,이촌동,2020-02-08,대림,395,59.22,11,1994,106000,1789.935832489024,735
20445,1,11170,이태원동,2020-02-05,남산대림,729,149.53,3,1994,180000,1203.7718183642078,735
20446,1,11170,이태원동,2020-02-08,청화1,22-2,105.75,9,1982,143000,1352.2458628841607,735
20452,1,11170,한강로1가,2020-02-06,용산파크자이,50-1,99.85,30,2005,145000,1452.1782674011017,735
20456,1,11170,한강로3가,2020-02-03,시티파크(2단지),63-387,149.69,27,2007,235000,1569.9111497093995,735
20457,1,11170,한강로3가,2020-02-08,용산 시티파크(1단지),63-389,146.53,15,2007,213500,1457.0395140926773,735
20461,1,11170,한남동,2020-02-02,한남힐스테이트,807,84.785,13,2003,149900,1768.0014153446955,735
20462,1,11170,한남동,2020-02-05,한남아이파크애비뉴,828,48.4109,12,2017,78000,1611.2073933762852,735
