,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
31168,1,11380,갈현동,2018-08-27,대양,281-208,66.32,3,2001,41000,618.2147165259349,660
31169,1,11380,갈현동,2018-08-31,갈현동현대,537,84.87,16,1997,45700,538.4706020973252,660
31191,1,11380,구산동,2018-08-27,경남아너스빌,224,122.77,5,2004,45000,366.5390567728272,660
31192,1,11380,구산동,2018-08-29,갈현현대,382,84.83,1,1998,34800,410.23222916421076,660
31193,1,11380,구산동,2018-08-29,갈현현대,382,59.94,9,1998,28000,467.1338004671338,660
31194,1,11380,구산동,2018-08-30,경남아너스빌,224,84.99,6,2004,40000,470.6436051300153,660
31213,1,11380,녹번동,2018-08-27,유일아트리움,176-22,52.37,3,2016,31500,601.4894023295781,660
31214,1,11380,녹번동,2018-08-28,리베하임,29-108,84.62,3,2007,30700,362.79839281493736,660
31236,1,11380,대조동,2018-08-30,신세계드림빌1,195-14,84.84,2,2003,40000,471.47571900047143,660
31294,1,11380,불광동,2018-08-26,북한산 힐스테이트7차,643,59.981,4,2011,70000,1167.0362281389107,660
31295,1,11380,불광동,2018-08-26,북한산현대힐스테이트3차아파트,641,59.99,8,2010,63000,1050.1750291715286,660
31296,1,11380,불광동,2018-08-28,북한산현대힐스테이트3차아파트,641,84.98,12,2010,71500,841.3744410449517,660
31297,1,11380,불광동,2018-08-28,북한산래미안아파트(2단지),637,84.9885,1,2010,69500,817.757696629544,660
31298,1,11380,불광동,2018-08-28,북한산힐스테이트1차아파트,635,114.942,8,2009,77000,669.9030815541752,660
31299,1,11380,불광동,2018-08-28,신우아파트,241-23,59.97,9,1995,32000,533.6001334000333,660
31300,1,11380,불광동,2018-08-28,대호아파트,629,59.7,6,1999,39000,653.2663316582914,660
31301,1,11380,불광동,2018-08-29,북한산힐스테이트1차아파트,635,114.942,6,2009,74000,643.8029614936229,660
31302,1,11380,불광동,2018-08-30,북한산래미안아파트(1단지),638,84.9885,6,2010,70000,823.6408455261594,660
31303,1,11380,불광동,2018-08-31,북한산현대힐스테이트3차아파트,641,84.98,11,2010,71000,835.490703694987,660
31304,1,11380,불광동,2018-08-31,윤현(484-90),484-90,117.3,4,1998,41700,355.4987212276215,660
31305,1,11380,불광동,2018-08-31,윤현(484-90),484-90,117.3,5,1998,35000,298.38022165387895,660
31306,1,11380,불광동,2018-08-31,북한산 힐스테이트7차,643,114.977,4,2011,90000,782.7652487019143,660
31307,1,11380,불광동,2018-08-31,정익제이원(4차),484-56,27.92,9,2015,24200,866.7621776504297,660
31324,1,11380,수색동,2018-08-29,진흥엣세벨,416-1,57.5033,7,2003,46000,799.9540895913799,660
31325,1,11380,수색동,2018-08-30,대림한숲,415-1,59.895,15,2003,40800,681.1920861507638,660
31326,1,11380,수색동,2018-08-30,대림한숲,415-1,59.895,12,2003,46000,768.0106853660573,660
31397,1,11380,신사동,2018-08-26,라이프씨티,354,83.04,5,1992,31300,376.92678227360307,660
31398,1,11380,신사동,2018-08-27,신성,155-1,61.32,8,1988,27500,448.4670580560992,660
31399,1,11380,신사동,2018-08-27,신사동한신휴플러스,365,59.76,6,2003,40500,677.710843373494,660
31400,1,11380,신사동,2018-08-27,라이프씨티,354,59.32,8,1992,28800,485.5023600809171,660
31401,1,11380,신사동,2018-08-27,현대2,355,84.83,18,1994,37100,437.34527879287987,660
31402,1,11380,신사동,2018-08-27,신사성원,360,59.94,14,2000,34800,580.5805805805807,660
31403,1,11380,신사동,2018-08-27,삼부,361,84.24,12,2001,38000,451.09211775878447,660
31404,1,11380,신사동,2018-08-27,홍익,19-117,59.94,7,1995,26000,433.7671004337671,660
31405,1,11380,신사동,2018-08-28,현대1,359,84.17,10,1997,39900,474.04063205417606,660
31406,1,11380,신사동,2018-08-28,현대1,359,84.17,6,1997,39500,469.28834501603893,660
31407,1,11380,신사동,2018-08-28,현대1,359,84.17,3,1997,39500,469.28834501603893,660
31408,1,11380,신사동,2018-08-29,대주파크빌,368,84.8,5,2004,49700,586.0849056603773,660
31409,1,11380,신사동,2018-08-29,현대2,355,84.83,9,1994,38000,447.9547329954026,660
31410,1,11380,신사동,2018-08-29,형진,19-84,59.78,7,1997,25500,426.5640682502509,660
31411,1,11380,신사동,2018-08-29,뉴신사신성,356,84.42,6,1993,31600,374.31888178156834,660
31412,1,11380,신사동,2018-08-30,현대2,355,84.83,5,1994,37800,445.5970765059531,660
31413,1,11380,신사동,2018-08-30,현대2,355,84.83,12,1994,38800,457.3853589532005,660
31414,1,11380,신사동,2018-08-30,뉴신사신성,356,84.42,6,1993,32000,379.0570954750059,660
31415,1,11380,신사동,2018-08-30,명진(200-115),200-115,42.93,5,2000,14200,330.771022594922,660
31416,1,11380,신사동,2018-08-30,신사동한신휴플러스,365,59.76,2,2003,37950,635.0401606425703,660
31417,1,11380,신사동,2018-08-31,두산위브2차,371,122.59,11,2011,72000,587.3235989884982,660
31418,1,11380,신사동,2018-08-31,신사동한신휴플러스,365,114.49,12,2003,54800,478.64442309372,660
31436,1,11380,역촌동,2018-08-30,역촌센트레빌,232,84.84,11,2011,46800,551.6265912305516,660
31437,1,11380,역촌동,2018-08-30,두성,21-21,84.63,3,2004,35800,423.0178423726811,660
31438,1,11380,역촌동,2018-08-31,한국리치빌,231,84.2164,4,2003,45000,534.3377299433365,660
31493,1,11380,응암동,2018-08-26,미소세상,117-35,29.99,8,2017,25800,860.2867622540847,660
31494,1,11380,응암동,2018-08-26,우성,694-1,64.62,12,1988,30000,464.2525533890436,660
31495,1,11380,응암동,2018-08-27,대우푸르지오,176,59.58,9,2008,46000,772.0711648204095,660
31496,1,11380,응암동,2018-08-27,우성,694-1,115.67,15,1988,39000,337.1660759055935,660
31497,1,11380,응암동,2018-08-27,백련산힐스테이트1차,759,59.63,13,2011,51500,863.6592319302364,660
31498,1,11380,응암동,2018-08-27,경남,714,59.36,11,1995,28500,480.1212938005391,660
31499,1,11380,응암동,2018-08-28,백련산힐스테이트1차,759,84.21,4,2011,62000,736.25460159126,660
31500,1,11380,응암동,2018-08-31,푸른숲,236-7,66.18,3,2011,29000,438.19885161680264,660
31511,1,11380,증산동,2018-08-27,월드메르시안(179-9),179-9,79.77,4,2004,45000,564.1218503196691,660
31642,1,11380,진관동,2018-08-26,은평뉴타운 제각말 푸르지오(5-1단지),154,101.83,13,2010,77000,756.1622311695965,660
31643,1,11380,진관동,2018-08-26,은평뉴타운 마고정(센트레빌3단지),107,134.96,12,2009,80000,592.7682276229993,660
31644,1,11380,진관동,2018-08-26,은평뉴타운 기자촌11단지,150,59.88,3,2015,60000,1002.004008016032,660
