,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11110,당주동,2006-01-17,세종,100,93.4,6,1983,29500
1,11110,명륜2가,2006-01-11,아남3,237,47.43,6,1999,21500
2,11110,명륜2가,2006-01-19,아남3,237,44.37,8,1999,20000
3,11110,무악동,2006-01-04,현대,82,84.92,20,2000,42500
4,11110,무악동,2006-01-17,현대,82,84.92,9,2000,41500
5,11110,무악동,2006-01-18,현대,82,60.0,13,2000,26700
6,11110,무악동,2006-01-24,현대,82,60.0,3,2000,24000
7,11110,무악동,2006-01-27,현대,82,114.9,9,2000,56500
8,11110,무악동,2006-01-28,현대,82,114.9,10,2000,52000
9,11110,숭인동,2006-01-03,하림빌라트,473,47.63,4,1998,10500
10,11110,신영동,2006-01-16,대아파크빌,254,59.22,13,1998,16500
11,11110,신영동,2006-01-16,대아파크빌,254,59.22,9,1998,16000
12,11110,익선동,2006-01-09,운현신화타워,30-6,57.18,12,1998,15741
13,11110,익선동,2006-01-10,운현신화타워,30-6,84.26,6,1998,23198
14,11110,익선동,2006-01-12,운현신화타워,30-6,84.26,14,1998,23198
15,11110,익선동,2006-01-20,운현신화타워,30-6,78.23,15,1998,21535
16,11110,창신동,2006-01-11,창신쌍용1,702,54.7,8,1992,16800
17,11110,창신동,2006-01-19,창신쌍용2,703,64.66,11,1993,16500
18,11110,창신동,2006-01-20,창신쌍용2,703,106.62,7,1993,28000
19,11110,창신동,2006-01-23,창신쌍용2,703,79.87,12,1993,19200
20,11110,창신동,2006-01-28,창신쌍용1,702,54.7,9,1992,15950
21,11110,평창동,2006-01-24,일성빌라트,145-5,59.82,1,1996,17500
22,11110,평창동,2006-01-27,일성빌라트,145-5,84.99,1,1996,27000
23,11110,평창동,2006-01-31,일성빌라트,145-5,84.99,4,1996,33500
24,11110,낙원동,2006-02-17,낙원,288,108.89,9,1968,30000
25,11110,명륜2가,2006-02-08,아남3,237,88.74,8,1999,38000
26,11110,명륜2가,2006-02-08,아남3,237,65.78,6,1999,31000
27,11110,명륜2가,2006-02-14,아남1,4,84.9,16,1995,44000
28,11110,명륜2가,2006-02-15,아남3,237,47.43,7,1999,23500
29,11110,명륜2가,2006-02-15,아남2,236,59.4,1,1996,24100
30,11110,명륜2가,2006-02-16,아남1,4,84.9,11,1995,41000
31,11110,명륜2가,2006-02-24,아남1,4,84.8,4,1995,40000
32,11110,무악동,2006-02-10,현대,82,84.92,5,2000,35500
33,11110,무악동,2006-02-14,현대,82,60.0,1,2000,24000
34,11110,무악동,2006-02-16,현대,82,60.0,14,2000,27500
35,11110,무악동,2006-02-20,현대,82,114.9,4,2000,46000
36,11110,무악동,2006-02-22,현대,82,114.9,12,2000,57500
37,11110,수송동,2006-02-06,로얄팰리스스위트,85,40.07,7,2005,22555
38,11110,신영동,2006-02-14,대아파크빌,254,59.22,5,1998,15200
39,11110,이화동,2006-02-05,송림아마레스아파트,9-1,84.42,6,2004,22000
40,11110,익선동,2006-02-02,운현신화타워,30-6,90.13,8,1998,24813
41,11110,익선동,2006-02-10,운현신화타워,30-6,90.13,8,1998,24813
42,11110,창신동,2006-02-01,창신쌍용1,702,79.87,13,1992,23500
43,11110,창신동,2006-02-02,두산,232,59.95,2,1999,20500
44,11110,창신동,2006-02-09,동대문,328-17,28.8,4,1968,13700
45,11110,창신동,2006-02-12,창신쌍용1,702,54.7,5,1992,16250
46,11110,창신동,2006-02-14,창신쌍용1,702,79.87,2,1992,21000
47,11110,창신동,2006-02-14,두산,232,84.9,9,1999,36000
48,11110,창신동,2006-02-20,창신쌍용1,702,79.87,3,1992,24500
49,11110,창신동,2006-02-24,창신이수,23-816,84.5,19,2003,31000
50,11110,창신동,2006-02-24,창신쌍용1,702,79.87,11,1992,22950
51,11110,창신동,2006-02-27,창신쌍용1,702,106.62,9,1992,31700
52,11110,창신동,2006-02-27,두산,232,59.95,6,1999,22450
53,11110,창신동,2006-02-27,두산,232,59.95,6,1999,23800
54,11110,창신동,2006-02-27,창신쌍용2,703,64.66,9,1993,16000
55,11110,평창동,2006-02-02,벽산블루밍평창힐스,45,186.9,4,2004,93000
56,11110,평창동,2006-02-14,형우럭스빌(33-1),33-1,92.87,3,2005,30000
57,11110,평창동,2006-02-17,삼성,596,84.93,9,1998,24300
58,11110,평창동,2006-02-19,일성빌라트,145-5,59.82,2,1996,21000
59,11110,평창동,2006-02-24,롯데낙천대,72,133.34,4,2001,74500
60,11110,평창동,2006-02-27,벽산블루밍평창힐스,45,209.98,1,2004,58900
61,11110,행촌동,2006-02-27,대성아파트,41-1,19.27,1,1971,2300
62,11110,낙원동,2006-03-03,낙원,288,73.59,13,1968,14000
63,11110,내수동,2006-03-03,경희궁 파크팰리스,95,103.77,8,2003,73000
64,11110,내수동,2006-03-06,경희궁 파크팰리스,95,117.26,5,2003,73500
65,11110,내수동,2006-03-22,경희궁 파크팰리스,95,146.33,9,2003,105000
66,11110,내수동,2006-03-23,세종로대우,167,100.44,15,1994,47000
67,11110,당주동,2006-03-13,롯데미도파광화문빌딩,145,149.95,7,1981,50000
68,11110,명륜1가,2006-03-06,건양하늘터,23,82.63,1,2006,32788
69,11110,명륜1가,2006-03-10,건양하늘터,23,84.78,2,2006,34040
70,11110,명륜1가,2006-03-14,아마레스,45-5,84.59,1,2002,25000
71,11110,명륜1가,2006-03-16,건양하늘터,23,84.78,2,2006,35000
72,11110,명륜1가,2006-03-21,리치캐슬아파트,33-85,82.95,1,2003,17500
73,11110,명륜1가,2006-03-21,리치캐슬아파트,33-85,75.6,1,2003,17000
74,11110,명륜2가,2006-03-11,아남1,4,84.9,12,1995,47000
75,11110,무악동,2006-03-16,현대,82,114.9,12,2000,53700
76,11110,무악동,2006-03-18,현대,82,84.92,9,2000,35100
77,11110,무악동,2006-03-23,현대,82,114.9,17,2000,59900
78,11110,무악동,2006-03-24,현대,82,84.92,19,2000,42800
79,11110,무악동,2006-03-27,현대,82,60.0,10,2000,23000
80,11110,무악동,2006-03-27,현대,82,114.9,6,2000,54800
81,11110,무악동,2006-03-27,현대,82,114.9,15,2000,56000
82,11110,수송동,2006-03-30,로얄팰리스스위트,85,80.12,18,2005,55000
83,11110,수송동,2006-03-31,로얄팰리스스위트,85,80.12,18,2005,54900
84,11110,숭인동,2006-03-03,롯데캐슬천지인,76,112.54,13,2004,68000
85,11110,숭인동,2006-03-31,숭인상가,204-11,80.85,8,1979,20000
86,11110,신영동,2006-03-01,대아파크빌,254,59.22,12,1998,16500
87,11110,신영동,2006-03-10,구암하이빌,105-22,75.89,3,2002,14550
88,11110,창신동,2006-03-01,창신쌍용2,703,115.53,14,1993,29200
89,11110,창신동,2006-03-03,창신쌍용1,702,54.7,2,1992,13000
90,11110,창신동,2006-03-04,MID그린(3동),601-2,58.88,5,2002,15000
91,11110,창신동,2006-03-06,창신이수,23-816,68.06,3,2003,21500
92,11110,창신동,2006-03-07,창신쌍용2,703,64.66,14,1993,15400
93,11110,창신동,2006-03-07,창신쌍용2,703,79.87,6,1993,20600
94,11110,창신동,2006-03-10,동대문,328-17,28.8,5,1968,14000
95,11110,창신동,2006-03-11,창신쌍용2,703,64.66,2,1993,14500
96,11110,창신동,2006-03-14,창신쌍용2,703,115.53,10,1993,31000
97,11110,창신동,2006-03-16,창신쌍용2,703,64.66,8,1993,16600
98,11110,창신동,2006-03-17,창신쌍용1,702,79.87,2,1992,22500
99,11110,창신동,2006-03-20,MID그린(8동),602-1,59.01,5,2002,14000
100,11110,창신동,2006-03-20,창신쌍용2,703,79.87,15,1993,18700
101,11110,창신동,2006-03-20,창신쌍용2,703,115.53,9,1993,28000
102,11110,창신동,2006-03-20,창신쌍용1,702,54.7,3,1992,15900
103,11110,창신동,2006-03-21,창신쌍용1,702,79.87,6,1992,23000
104,11110,창신동,2006-03-23,창신쌍용2,703,54.7,6,1993,13000
105,11110,창신동,2006-03-24,창신쌍용2,703,115.53,5,1993,31500
106,11110,창신동,2006-03-25,두산,232,59.95,8,1999,23500
107,11110,창신동,2006-03-25,창신쌍용1,702,79.87,8,1992,21600
108,11110,창신동,2006-03-25,창신쌍용1,702,79.87,10,1992,25500
109,11110,창신동,2006-03-27,일우,602,59.3,2,2002,13500
110,11110,창신동,2006-03-28,창신쌍용2,703,115.53,14,1993,29000
111,11110,창신동,2006-03-31,창신쌍용2,703,54.7,9,1993,13900
112,11110,통인동,2006-03-11,효자,5-1,56.53,4,1999,7750
113,11110,통인동,2006-03-16,효자,5-1,53.49,5,1999,7300
114,11110,평창동,2006-03-04,삼성,596,84.93,14,1998,26500
115,11110,평창동,2006-03-05,삼성,596,84.93,12,1998,25800
116,11110,평창동,2006-03-08,롯데낙천대,72,91.06,12,2001,50000
117,11110,평창동,2006-03-10,크래스빌,46-1,175.81,3,2003,55000
118,11110,평창동,2006-03-31,일성빌라트,145-5,59.82,2,1996,23950
119,11110,낙원동,2006-04-10,낙원,288,68.89,14,1968,12000
120,11110,낙원동,2006-04-29,낙원,288,70.61,12,1968,15000
121,11110,내수동,2006-04-20,경희궁 파크팰리스,95,103.77,5,2003,35500
122,11110,내수동,2006-04-21,경희궁의아침3단지,72,150.48,11,2004,108000
123,11110,누상동,2006-04-30,청호그린빌,40,56.4,1,1999,8400
124,11110,누상동,2006-04-30,청호그린빌,40,26.64,2,1999,3400
125,11110,누상동,2006-04-30,청호그린빌,40,29.76,2,1999,3600
126,11110,누상동,2006-04-30,청호그린빌,40,26.64,4,1999,3400
127,11110,누상동,2006-04-30,청호그린빌,40,29.76,3,1999,3600
128,11110,누상동,2006-04-30,청호그린빌,40,56.4,5,1999,8600
129,11110,누상동,2006-04-30,청호그린빌,40,26.64,3,1999,3400
130,11110,누상동,2006-04-30,청호그린빌,40,29.76,4,1999,3600
131,11110,당주동,2006-04-25,세종,100,104.73,3,1983,28000
132,11110,무악동,2006-04-05,현대,82,84.92,10,2000,36700
133,11110,무악동,2006-04-05,현대,82,114.9,2,2000,52600
134,11110,무악동,2006-04-05,현대,82,84.92,13,2000,39000
135,11110,무악동,2006-04-06,현대,82,84.92,6,2000,41300
136,11110,무악동,2006-04-08,현대,82,84.92,15,2000,43900
137,11110,무악동,2006-04-11,현대,82,60.0,14,2000,27350
138,11110,무악동,2006-04-19,현대,82,84.92,14,2000,42000
139,11110,무악동,2006-04-20,현대,82,114.9,14,2000,57300
140,11110,무악동,2006-04-21,현대,82,84.92,16,2000,44700
141,11110,무악동,2006-04-22,현대,82,84.92,13,2000,40500
142,11110,무악동,2006-04-26,현대,82,84.92,10,2000,42500
143,11110,무악동,2006-04-27,현대,82,84.92,11,2000,41600
144,11110,숭인동,2006-04-29,숭인동 103동 (569-4),569-4,59.74,4,2000,13650
145,11110,이화동,2006-04-24,송림아마레스아파트,9-1,84.42,3,2004,22000
146,11110,익선동,2006-04-15,현대뜨레비앙,55,48.54,5,2003,15000
147,11110,창신동,2006-04-01,창신쌍용2,703,79.87,7,1993,21500
148,11110,창신동,2006-04-03,창신쌍용2,703,64.66,8,1993,15000
149,11110,창신동,2006-04-03,창신쌍용2,703,54.7,12,1993,15000
150,11110,창신동,2006-04-03,두산,232,84.9,6,1999,34750
151,11110,창신동,2006-04-05,창신쌍용1,702,54.7,9,1992,15900
152,11110,창신동,2006-04-06,창신쌍용1,702,79.87,11,1992,21600
153,11110,창신동,2006-04-11,창신쌍용2,703,106.62,4,1993,29000
154,11110,창신동,2006-04-12,두산,232,59.95,11,1999,22400
155,11110,창신동,2006-04-13,창신쌍용2,703,106.62,5,1993,29200
156,11110,창신동,2006-04-15,동대문,328-17,28.8,5,1968,14500
157,11110,창신동,2006-04-17,창신쌍용1,702,54.7,6,1992,16500
158,11110,창신동,2006-04-18,창신쌍용2,703,79.87,13,1993,20300
159,11110,창신동,2006-04-20,동대문,328-17,28.8,3,1968,14900
