,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
0,11140,만리동1가,2006-01-18,SY파크힐,56-11,148.62,5,2005,40000
1,11140,신당동,2006-01-02,남산타운,844,59.94,1,2002,22000
2,11140,신당동,2006-01-09,남산타운,844,84.88,15,2002,52000
3,11140,신당동,2006-01-10,남산정은스카이,366-126,143.049,2,2005,60015
4,11140,신당동,2006-01-10,신당푸르지오,850,145.1,2,2005,62500
5,11140,신당동,2006-01-11,신당푸르지오,850,84.76,10,2005,41500
6,11140,신당동,2006-01-11,현대,840,139.275,4,1993,40500
7,11140,신당동,2006-01-12,남산타운,844,59.94,12,2002,31900
8,11140,신당동,2006-01-12,약수하이츠,842,84.88,18,1999,31000
9,11140,신당동,2006-01-15,약수넥스빌,377-26,84.93,5,2000,21000
10,11140,신당동,2006-01-15,삼성,843,59.98,6,1999,24600
11,11140,신당동,2006-01-16,삼성,843,84.96,10,1999,35200
12,11140,신당동,2006-01-16,신당푸르지오,850,145.1,10,2005,66750
13,11140,신당동,2006-01-16,약수하이츠,842,84.88,17,1999,36000
14,11140,신당동,2006-01-17,삼성,843,114.91,18,1999,44000
15,11140,신당동,2006-01-18,신당푸르지오,850,59.85,3,2005,28000
16,11140,신당동,2006-01-18,남산타운,844,114.88,15,2002,70800
17,11140,신당동,2006-01-19,약수하이츠,842,57.63,6,1999,27000
18,11140,신당동,2006-01-20,남산타운,844,59.94,16,2002,28900
19,11140,신당동,2006-01-20,신당푸르지오,850,114.48,13,2005,60000
20,11140,신당동,2006-01-21,현대,840,66.6,9,1993,21000
21,11140,신당동,2006-01-21,현대,840,79.11,10,1993,24500
22,11140,신당동,2006-01-21,삼성,843,84.96,23,1999,37000
23,11140,신당동,2006-01-23,현대,840,122.275,8,1993,40500
24,11140,신당동,2006-01-24,삼성,843,84.96,13,1999,38600
25,11140,신당동,2006-01-25,현대,840,79.11,6,1993,23800
26,11140,신당동,2006-01-25,약수하이츠,842,84.88,9,1999,38000
27,11140,신당동,2006-01-31,현대,840,83.97,13,1993,26850
28,11140,신당동,2006-01-31,남산정은스카이,366-126,142.109,1,2005,93130
29,11140,예장동,2006-01-14,삼익,9,59.58,4,1999,15000
30,11140,인현동2가,2006-01-24,신성상가,192-30,42.31,7,1968,9000
31,11140,중림동,2006-01-09,성요셉,149,41.32,4,1971,6500
32,11140,중림동,2006-01-20,삼성사이버빌리지,200,84.93,11,2001,42000
33,11140,중림동,2006-01-22,삼성사이버빌리지,200,59.93,3,2001,30500
34,11140,중림동,2006-01-22,삼성사이버빌리지,200,84.95,14,2001,46900
35,11140,신당동,2006-02-01,현대,840,83.97,2,1993,22000
36,11140,신당동,2006-02-01,남산타운,844,59.94,15,2002,27500
37,11140,신당동,2006-02-02,도현블랑빌,432-2164,49.14,4,2001,11500
38,11140,신당동,2006-02-02,남산정은스카이,366-126,143.049,10,2005,66704
39,11140,신당동,2006-02-04,남산타운,844,114.88,12,2002,72800
40,11140,신당동,2006-02-04,남산타운,844,84.88,14,2002,46000
41,11140,신당동,2006-02-04,약수하이츠,842,84.88,1,1999,32000
42,11140,신당동,2006-02-04,태원팰리스,413-4,77.19,3,2004,25000
43,11140,신당동,2006-02-06,현대,840,66.6,4,1993,20000
44,11140,신당동,2006-02-06,삼성,843,84.96,14,1999,38500
45,11140,신당동,2006-02-06,남산타운,844,59.94,4,2002,26700
46,11140,신당동,2006-02-07,현대,840,83.97,5,1993,24000
47,11140,신당동,2006-02-07,삼성,843,114.91,16,1999,47900
48,11140,신당동,2006-02-07,남산타운,844,84.88,3,2002,44150
49,11140,신당동,2006-02-08,삼성,843,84.96,21,1999,36000
50,11140,신당동,2006-02-08,삼성,843,84.96,8,1999,36900
51,11140,신당동,2006-02-08,현대,840,66.6,4,1993,20800
52,11140,신당동,2006-02-10,신당푸르지오,850,145.1,2,2005,62200
53,11140,신당동,2006-02-11,약수하이츠,842,57.63,9,1999,27600
54,11140,신당동,2006-02-12,현대,840,121.14,9,1993,42800
55,11140,신당동,2006-02-12,남산타운,844,84.88,11,2002,55800
56,11140,신당동,2006-02-13,약수(372-13),372-13,52.69,5,1968,11700
57,11140,신당동,2006-02-13,삼성,843,84.96,10,1999,39700
58,11140,신당동,2006-02-14,남산타운,844,84.88,3,2002,43000
59,11140,신당동,2006-02-14,기린,333-26,80.73,2,2004,22400
60,11140,신당동,2006-02-14,태원팰리스,413-4,77.19,1,2004,24500
61,11140,신당동,2006-02-15,삼성홈타운,849,52.59,1,2004,17500
62,11140,신당동,2006-02-15,약수하이츠,842,114.92,11,1999,60700
63,11140,신당동,2006-02-15,신당푸르지오,850,84.39,13,2005,37000
64,11140,신당동,2006-02-15,남산타운,844,114.88,15,2002,67000
65,11140,신당동,2006-02-16,삼성홈타운,849,83.94,5,2004,28500
66,11140,신당동,2006-02-17,남산타운,844,114.88,1,2002,51000
67,11140,신당동,2006-02-17,약수하이츠,842,114.92,15,1999,59800
68,11140,신당동,2006-02-17,신당동파라다이스,846,84.85,8,2000,27750
69,11140,신당동,2006-02-18,현대,840,83.97,1,1993,22000
70,11140,신당동,2006-02-19,신당푸르지오,850,59.85,8,2005,31700
71,11140,신당동,2006-02-19,현대,840,83.97,6,1993,26000
72,11140,신당동,2006-02-20,남산타운,844,59.94,14,2002,27500
73,11140,신당동,2006-02-21,삼성,843,84.96,11,1999,38500
