,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
30727,1,11260,망우동,2018-01-15,EG Soul Leader,506-8,13.42,6,2012,10000,745.156482861401,628
30728,1,11260,망우동,2018-01-16,중랑숲리가,583,84.964,2,2012,42500,500.21185443246554,628
30729,1,11260,망우동,2018-01-18,금호어울림(580),580,59.96,7,2006,35800,597.0647098065377,628
30730,1,11260,망우동,2018-01-19,중랑숲리가,583,84.964,10,2012,45800,539.0518337178099,628
30731,1,11260,망우동,2018-01-20,천보,494-17,72.64,5,2002,26800,368.942731277533,628
30773,1,11260,면목동,2018-01-15,용마한신2,1073,84.51,11,1998,44100,521.8317358892439,628
30774,1,11260,면목동,2018-01-16,용마산하늘채,1537,84.7054,9,2015,59900,707.1568046429154,628
30775,1,11260,면목동,2018-01-16,공감대(390-24),390-24,84.96,3,2005,37500,441.3841807909605,628
30776,1,11260,면목동,2018-01-17,마젤란21,1531,59.923,4,2007,36750,613.2870517163693,628
30777,1,11260,면목동,2018-01-17,경남아너스빌,1529,84.961,12,2006,50900,599.098409858641,628
30778,1,11260,면목동,2018-01-17,용마산금호어울림,1525,75.72,7,2006,44000,581.0882197569995,628
30779,1,11260,면목동,2018-01-18,한신,193-1,58.46,12,1988,30000,513.1713992473486,628
30780,1,11260,면목동,2018-01-18,용마한신2,1073,84.51,10,1998,44400,525.3816116435925,628
30781,1,11260,면목동,2018-01-19,용마금호타운,494,84.9,6,1992,38200,449.9411071849234,628
30782,1,11260,면목동,2018-01-19,두산5,1522-1,84.87,3,2000,43500,512.548603746907,628
30783,1,11260,면목동,2018-01-20,대원칸타빌,581,56.9217,10,2003,38700,679.8813106425142,628
30784,1,11260,면목동,2018-01-20,두원,1521,84.96,22,1998,34700,408.4274952919021,628
30785,1,11260,면목동,2018-01-20,한신,193-1,45.44,11,1987,24700,543.5739436619718,628
30830,1,11260,묵동,2018-01-15,태창네스트빌,389,70.9883,5,2005,33000,464.8653369639786,628
30831,1,11260,묵동,2018-01-15,신안2,382,59.845,12,2000,33500,559.7794301946695,628
30832,1,11260,묵동,2018-01-15,신안1,381,84.99,3,1999,39800,468.29038710436527,628
30833,1,11260,묵동,2018-01-16,동구햇살,388,84.97,15,2004,38300,450.7473225844416,628
30834,1,11260,묵동,2018-01-16,신도브래뉴,169-10,51.86,13,2004,28000,539.9151561897417,628
30835,1,11260,묵동,2018-01-17,장미,188-1,92.49,1,1983,40400,436.80397880851984,628
30836,1,11260,묵동,2018-01-17,문수해오름,174-9,83.7,11,2004,37000,442.05495818399044,628
